fold,date,method,return
32,2024-12-17,QAUR,-0.005000701382333833
32,2024-12-18,AUR,0.005116866557186903
32,2024-12-18,QAUR,0.005141521131915514
32,2024-12-19,AUR,-0.007435435365760067
32,2024-12-19,QAUR,-0.007448433421588305
32,2024-12-20,AUR,0.008472686101290277
32,2024-12-20,QAUR,0.008426216584197444
32,2024-12-23,AUR,0.003940997982092028
32,2024-12-23,QAUR,0.003955964559008632
32,2024-12-24,AUR,-0.0009670122766481043
32,2024-12-24,QAUR,-0.0009638080397604369
32,2024-12-25,AUR,0.010532088886950794
32,2024-12-25,QAUR,0.010544837823666496
32,2024-12-26,AUR,-0.008313690366299527
32,2024-12-26,QAUR,-0.008284871066584664
32,2024-12-27,AUR,-0.004826628420867722
32,2024-12-27,QAUR,-0.004858443590795415
32,2024-12-30,AUR,0.0019013443084845492
32,2024-12-30,QAUR,0.0018954394707631863
32,2024-12-31,AUR,-0.002374107234901743
32,2024-12-31,QAUR,-0.0022401560035882257
33,2025-01-02,AUR,-0.0078063814015705306
33,2025-01-02,QAUR,-0.0078062469802293215
33,2025-01-03,AUR,-0.005827135287838139
33,2025-01-03,QAUR,-0.005827135287604994
33,2025-01-06,AUR,-0.0025476319930634412
33,2025-01-06,QAUR,-0.0025476319929269384
33,2025-01-07,AUR,0.0061800821295919725
33,2025-01-07,QAUR,0.006180082129473267
33,2025-01-08,AUR,-0.0027278878275515213
33,2025-01-08,QAUR,-0.0027278878275783388
33,2025-01-09,AUR,-0.00016594464970240606
33,2025-01-09,QAUR,-0.00016594464980753895
33,2025-01-10,AUR,-0.003649027584804012
33,2025-01-10,QAUR,-0.0036490275847280785
33,2025-01-13,AUR,-0.0012579021174154582
33,2025-01-13,QAUR,-0.0012579021174519505
33,2025-01-14,AUR,-0.0008080134446215137
33,2025-01-14,QAUR,-0.0008080134445460938
33,2025-01-15,AUR,0.0028203162340043326
33,2025-01-15,QAUR,0.002820316233924049
33,2025-01-16,AUR,0.0007099565725247179
33,2025-01-16,QAUR,0.0007099565726748913
33,2025-01-17,AUR,0.001812965771262024
33,2025-01-17,QAUR,0.001812965771216337
33,2025-01-20,AUR,-0.0023044831796702496
33,2025-01-20,QAUR,-0.0023044831798752843
33,2025-01-21,AUR,0.0012483580452791261
33,2025-01-21,QAUR,0.001248358045199459
33,2025-01-22,AUR,0.003303478460682396
33,2025-01-22,QAUR,0.0033034784606766343
33,2025-01-23,AUR,-0.00038124095455961823
33,2025-01-23,QAUR,-0.0003812409543086
33,2025-01-24,AUR,0.017532484416823025
