fold,selected_config,trailing_score,lookback_folds
34,W_K10P6_CP30,2.0390974701875972,24
35,W_K10P6_CP30,2.110659273872206,24
36,W_K8P4_CP30,2.2049843286548616,24
37,W_K8P4_CP30,1.6250923847257366,24
38,W_K8P4_CP30,1.3308106045623398,24
39,W_K8P4_CP30,1.3114912524904265,24
40,W_K8P4_CP30,1.3936354642868143,24
41,W_K8P4_CP30,1.6472847205496308,24
42,W_K8P4_CP30,1.6540838495963368,24
43,W_K8P4_CP50,1.942981097757377,24
44,W_K8P4_CP50,1.879173421157076,24
45,W_K8P4_CP50,1.7495716453161099,24
46,W_K8P4_CP50,1.6335132109788133,24
47,W_K8P4_CP50,1.5578135076196433,24
48,W_K8P4_CP50,1.2673371519546142,24
49,W_K8P4_CP50,1.430516672042168,24
50,W_K8P4_CP50,1.4229089295562747,24
51,W_K8P4_CP50,1.1112076757367069,24
