fold,date,method,return
46,2026-02-11,QAUR,-0.004559056703895797
46,2026-02-12,AUR,-0.001866821038875877
46,2026-02-12,QAUR,-0.0028865166776652954
46,2026-02-13,AUR,0.0031649500361495635
46,2026-02-13,QAUR,0.004693757721920535
46,2026-02-23,AUR,0.008020947218345011
46,2026-02-23,QAUR,0.006188289075379349
46,2026-02-24,AUR,0.0017843833923755648
46,2026-02-24,QAUR,0.0013748859258764954
46,2026-02-25,AUR,-0.005591798810470824
46,2026-02-25,QAUR,-0.004741446776295221
46,2026-02-26,AUR,-0.00274195130248486
46,2026-02-26,QAUR,-0.003136169496058257
46,2026-02-27,AUR,0.006792181867896428
46,2026-02-27,QAUR,-0.00010119134340763006
47,2026-03-02,AUR,0.008249631586576876
47,2026-03-02,QAUR,0.008249631586576874
47,2026-03-03,AUR,-0.011066206735327041
47,2026-03-03,QAUR,-0.011066206735327041
47,2026-03-04,AUR,-0.013968786771021924
47,2026-03-04,QAUR,-0.013968786771021924
47,2026-03-05,AUR,0.013253217049679042
47,2026-03-05,QAUR,0.013253217049679042
47,2026-03-06,AUR,0.00023292450719027447
47,2026-03-06,QAUR,0.00023292450719027447
47,2026-03-09,AUR,-0.03721399314174243
47,2026-03-09,QAUR,-0.03721399314174243
47,2026-03-10,AUR,0.005406072889348338
47,2026-03-10,QAUR,0.005406072889348338
47,2026-03-11,AUR,0.0026129142594332657
47,2026-03-11,QAUR,0.0026129142594332657
47,2026-03-12,AUR,0.007065578315665533
47,2026-03-12,QAUR,0.007065578315665533
47,2026-03-13,AUR,0.0009447100630012931
47,2026-03-13,QAUR,0.0009447100630012931
47,2026-03-16,AUR,-0.004259029234001628
47,2026-03-16,QAUR,-0.004259029234001628
47,2026-03-17,AUR,0.002101730571026369
47,2026-03-17,QAUR,0.002101730571026369
47,2026-03-18,AUR,-0.00615635422496494
47,2026-03-18,QAUR,-0.00615635422496494
47,2026-03-19,AUR,0.00244694623673588
47,2026-03-19,QAUR,0.00244694623673588
47,2026-03-20,AUR,0.00736558260115195
47,2026-03-20,QAUR,0.00736558260115195
47,2026-03-23,AUR,-0.017573479881344018
47,2026-03-23,QAUR,-0.017573479881344018
47,2026-03-24,AUR,0.010009799271866852
47,2026-03-24,QAUR,0.010009799271866852
47,2026-03-25,AUR,-0.003576896393484201
47,2026-03-25,QAUR,-0.003576896393484201
47,2026-03-26,AUR,-0.0034037387162136625
47,2026-03-26,QAUR,-0.0034037387162136625
47,2026-03-27,AUR,0.0006088723277579127
47,2026-03-27,QAUR,0.0006088723277579127
47,2026-03-30,AUR,-0.0030191411461301812
47,2026-03-30,QAUR,-0.0030191411461301812
47,2026-03-31,AUR,0.004211932825205537
47,2026-03-31,QAUR,0.004211932825205537
47,2026-04-01,AUR,-0.005789138301223727
47,2026-04-01,QAUR,-0.005789138301223727
48,2026-04-02,AUR,0.0022198192004879574
48,2026-04-02,QAUR,0.002233474224482999
48,2026-04-03,AUR,0.0001691992549900184
48,2026-04-03,QAUR,0.00016919925348685242
48,2026-04-06,AUR,-0.01572094830699795
48,2026-04-06,QAUR,-0.015720948310014637
48,2026-04-07,AUR,0.01420120480961452
48,2026-04-07,QAUR,0.014201204808571791
48,2026-04-08,AUR,0.006405456003141392
48,2026-04-08,QAUR,0.006405456004878735
48,2026-04-09,AUR,0.01099418285024469
48,2026-04-09,QAUR,0.010994182844282368
48,2026-04-10,AUR,-0.008303471641315598
48,2026-04-10,QAUR,-0.008303471644390612
48,2026-04-13,AUR,-0.0008218104815334432
48,2026-04-13,QAUR,-0.0008218104776624606
48,2026-04-14,AUR,0.00023385938748109902
48,2026-04-14,QAUR,0.00023385939511125212
48,2026-04-15,AUR,-0.005743802098104223
48,2026-04-15,QAUR,-0.005743802092019153
48,2026-04-16,AUR,-0.006114619798309473
48,2026-04-16,QAUR,-0.0061146197968216425
48,2026-04-17,AUR,0.009234971275225917
48,2026-04-17,QAUR,0.009234971291414585
48,2026-04-20,AUR,0.010694351684552825
48,2026-04-20,QAUR,0.010694351681907648
48,2026-04-21,AUR,0.004127360114329324
48,2026-04-21,QAUR,0.004127360115048764
48,2026-04-22,AUR,-0.00557960455725932
48,2026-04-22,QAUR,-0.005579604570906279
