policy_id,lookback,threshold,switching_cost_bps,worst_return,worst_sharpe,worst_drawdown,minimum_exposure,median_return,stable
MG_L20_T2_C25,20,0.02,25.0,0.0,0.6468342642127992,-0.16374728273794914,0.0,0.08551086526167195,False
MG_L15_T-2_C0,15,-0.02,0.0,0.15670690629909867,0.6333942126505352,-0.24444141135557018,0.6896551724137931,0.16949150366507681,False
MG_L30_T2_C0,30,0.02,0.0,0.06116923081187675,0.5862882212000875,-0.1522509558934403,0.25,0.13229096897724335,False
MG_L10_T-2_C0,10,-0.02,0.0,0.14253275403083898,0.52629745297029,-0.26185830986353653,0.7241379310344828,0.18049473190618803,False
MG_L15_T-2_C25,15,-0.02,25.0,0.12930525073913124,0.488787997410563,-0.25567453794317796,0.6896551724137931,0.15384892148124385,False
MG_L30_T2_C25,30,0.02,25.0,0.05329145168720806,0.44265106633884,-0.15767689819290243,0.25,0.09886097224744628,False
MG_L20_T2_C50,20,0.02,50.0,0.0,0.43602489078356516,-0.17208782065413353,0.0,0.06396175344478727,False
MG_L10_T-2_C25,10,-0.02,25.0,0.108797604592064,0.40568257182035,-0.2691911342612432,0.7241379310344828,0.18049473190618803,False
MG_L40_T2_C0,40,0.02,0.0,0.016082460375342,0.39777453330325596,-0.16126787050494318,0.125,0.11127085029224149,False
MG_L60_T-2_C0,60,-0.02,0.0,0.0939349014272417,0.3933994628946636,-0.30203319479990975,0.625,0.13189816174718771,False
MG_L10_T0_C0,10,0.0,0.0,0.08871151673751232,0.36203931297410996,-0.23892807330563237,0.5,0.13170109522479045,False
MG_L15_T-2_C50,15,-0.02,50.0,0.09040441219002049,0.34457294236698377,-0.2667681472381922,0.6896551724137931,0.1509570695477067,False
MG_L60_T-2_C25,60,-0.02,25.0,0.08304059533835373,0.33647233816052474,-0.30203319479990964,0.625,0.11575735992709935,False
MG_L30_T2_C50,30,0.02,50.0,0.045452755062572736,0.29896210043820964,-0.16516749331579017,0.25,0.06633795688802224,False
MG_L10_T-2_C50,10,-0.02,50.0,0.07597778990335069,0.2853356309911902,-0.27646918922783714,0.7241379310344828,0.17990110414628657,False
MG_L60_T-2_C50,60,-0.02,50.0,0.07222786266775749,0.2795717442667489,-0.3020331947999101,0.625,0.10049528809112518,False
MG_L40_T2_C25,40,0.02,25.0,0.011017601345306494,0.2723631171879935,-0.16963346095223775,0.125,0.08780067568870131,False
MG_L90_T0_C0,90,0.0,0.0,0.03837950936214707,0.24441725510275888,-0.1522509558934403,0.25,0.04781472551616539,False
MG_L120_T-2_C0,120,-0.02,0.0,0.05472601160423318,0.19005526479395857,-0.30203319479990975,0.5172413793103449,0.060635518742085726,False
MG_L120_T0_C0,120,0.0,0.0,0.05472601160423318,0.19005526479395857,-0.30203319479990975,0.375,0.09382338217462016,False
MG_L10_T0_C25,10,0.0,25.0,0.04086490601507098,0.1693890054985964,-0.24648869055168154,0.5,0.12324232223399523,False
MG_L60_T-2_C100,60,-0.02,100.0,0.05084548574560688,0.16652308909647942,-0.30203319479990987,0.625,0.07052888474631391,False
MG_L40_T2_C50,40,0.02,50.0,0.005965397216920687,0.14669117607188908,-0.1779363155804473,0.125,0.051537101657975315,False
MG_L90_T0_C25,90,0.0,25.0,0.02036617612412317,0.12991113538982807,-0.1522509558934404,0.25,0.03610569661613294,False
MG_L120_T-2_C25,120,-0.02,25.0,0.03643386040177443,0.12719509164542084,-0.30203319479990964,0.5172413793103449,0.05270791743740433,False
MG_L120_T0_C25,120,0.0,25.0,0.03643386040177443,0.12719509164542084,-0.30203319479990964,0.375,0.0910888237191837,False
MG_L160_T0_C0,160,0.0,0.0,0.034614834136087236,0.1169565818178338,-0.30203319479990975,0.5517241379310345,0.14706465649694533,False
MG_L160_T2_C0,160,0.02,0.0,0.034614834136087236,0.1169565818178338,-0.30203319479990975,0.375,0.08375279625908427,False
MG_L90_T2_C0,90,0.02,0.0,0.015991810636136528,0.08671621542481675,-0.1522509558934403,0.25,0.04284902647678379,False
MG_L160_T0_C25,160,0.0,25.0,0.021783029061678727,0.07391011431426259,-0.30203319479990964,0.5517241379310345,0.13707266589455025,False
MG_L160_T2_C25,160,0.02,25.0,0.021783029061678727,0.07391011431426259,-0.30203319479990964,0.375,0.0717320121694176,False
MG_L120_T-2_C50,120,-0.02,50.0,0.01841430648876763,0.06454096870198375,-0.3020331947999101,0.5172413793103449,0.044819917491487726,False
MG_L120_T0_C50,120,0.0,50.0,0.01841430648876763,0.06454096870198375,-0.3020331947999101,0.375,0.08835426526374701,False
MG_L15_T-2_C100,15,-0.02,100.0,0.016307825504670692,0.0626013984169513,-0.28854236238275244,0.6896551724137931,0.14517336568063288,False
MG_L10_T-2_C100,10,-0.02,100.0,0.012994134192749973,0.04911811999894188,-0.2908620837638224,0.7241379310344828,0.17693505467987714,False
MG_L60_T0_C0,60,0.0,0.0,0.004943791036725376,0.03220277983360963,-0.30203319479990975,0.375,0.03306732906656085,False
MG_L160_T0_C50,160,0.0,50.0,0.0090788576553531,0.030907420303503703,-0.3020331947999101,0.5517241379310345,0.12714474290786937,False
MG_L160_T2_C50,160,0.02,50.0,0.0090788576553531,0.030907420303503703,-0.3020331947999101,0.375,0.05901726914332173,False
MG_L30_T2_C100,30,0.02,100.0,0.0039236684414380996,0.017717141897926975,-0.18177320417478782,0.25,0.02989222058740304,False
MG_L90_T0_C50,90,0.0,50.0,0.0026213543445092746,0.016711862552662257,-0.1522509558934405,0.25,0.024542986900690344,False
MG_L20_T2_C100,20,0.02,100.0,0.0,0.01609954189139144,-0.1885815731742827,0.0,0.0035257699160037292,False
MG_L5_T2_C0,5,0.02,0.0,0.0,0.009564674652995044,-0.19671381073865324,0.0,0.0025347383467302365,False
MG_L160_T-2_C0,160,-0.02,0.0,0.0002384078125814426,0.0008079104567167507,-0.30203319479990975,0.5862068965517241,0.1810920054810825,False
MG_L60_T0_C25,60,0.0,25.0,-0.0025573788669852604,-0.016677281082297546,-0.30203319479990964,0.375,0.022029889404488467,False
MG_L10_T0_C50,10,0.0,50.0,-0.00499089164250166,-0.0209135880841697,-0.2539928369642611,0.5,0.11482580400489206,False
MG_L90_T2_C25,90,0.02,25.0,-0.004044873853685016,-0.02219273683855425,-0.1522509558934404,0.25,0.02992945672372882,False
MG_L160_T-2_C25,160,-0.02,25.0,-0.01216704381396927,-0.041404115007474034,-0.30203319479990964,0.5862068965517241,0.17081876128070073,False
MG_L20_T0_C100,20,0.0,100.0,-0.003505421833904898,-0.05177368370784069,-0.1885815731742827,0.5,0.026850159343944524,False
MG_L160_T0_C100,160,0.0,100.0,-0.015950397463221133,-0.05452153570224344,-0.30203319479990987,0.5517241379310345,0.10748003368194325,False
MG_L160_T2_C100,160,0.02,100.0,-0.015950397463221133,-0.0563291916904215,-0.30203319479990987,0.375,0.017156266440605528,False
MG_L120_T-2_C100,120,-0.02,100.0,-0.016820550530390777,-0.05919403650733182,-0.30203319479990987,0.5172413793103449,0.02916232503733629,False
MG_L120_T0_C100,120,0.0,100.0,-0.016820550530390777,-0.05919403650733182,-0.30203319479990987,0.375,0.08288514835287397,False
MG_L200_T-2_C0,200,-0.02,0.0,-0.019145486912339638,-0.06312188698836314,-0.30203319479990975,0.6206896551724138,0.15674077341478065,False
MG_L60_T0_C50,60,0.0,50.0,-0.010021129751526692,-0.0653609399821988,-0.3020331947999101,0.375,0.011869762167853515,False
MG_L40_T-2_C100,40,-0.02,100.0,-0.005520579600829634,-0.06860699258103359,-0.19435507432823962,0.5862068965517241,0.12921377594015238,False
MG_L160_T-2_C50,160,-0.02,50.0,-0.02444910256741062,-0.08347663843522327,-0.3020331947999101,0.5862068965517241,0.160611257813575,False
MG_L15_T0_C25,15,0.0,25.0,-0.01731962302710932,-0.08348833141889926,-0.199664153213699,0.41379310344827586,0.05034538268642175,False
MG_L252_T0_C0,252,0.0,0.0,-0.02656953892190661,-0.0860073223519717,-0.30203319479990975,0.5517241379310345,0.15249439023539968,False
MG_L252_T2_C0,252,0.02,0.0,-0.02656953892190661,-0.0860073223519717,-0.30203319479990975,0.5517241379310345,0.15249439023539968,False
MG_L200_T-2_C25,200,-0.02,25.0,-0.02648265911056591,-0.08748417422682209,-0.30203319479990964,0.6206896551724138,0.15382095383511574,False
MG_L60_T2_C0,60,0.02,0.0,-0.018489989137966956,-0.0944411171039595,-0.1707583649925858,0.25,0.01827262980174693,False
MG_L40_T2_C100,40,0.02,100.0,-0.019880827635737952,-0.09842121943560617,-0.19435507432823962,0.125,-0.00410104633490227,False
MG_L252_T-2_C0,252,-0.02,0.0,-0.03255147232571254,-0.10392343935848536,-0.30203319479990975,0.6206896551724138,0.18049473190618803,False
MG_L200_T-2_C50,200,-0.02,50.0,-0.033783150707695,-0.11176718503567055,-0.3020331947999101,0.6206896551724138,0.14948350496145746,False
MG_L252_T0_C25,252,0.0,25.0,-0.03623243016597277,-0.11769604930112638,-0.30203319479990964,0.5517241379310345,0.14961152401441769,False
MG_L252_T2_C25,252,0.02,25.0,-0.03623243016597277,-0.11769604930112638,-0.30203319479990964,0.5517241379310345,0.14961152401441769,False
MG_L90_T2_C50,90,0.02,50.0,-0.023734949552135842,-0.13130002118098955,-0.1522509558934405,0.25,0.01716368346062458,False
MG_L5_T2_C25,5,0.02,25.0,-0.036775666513628624,-0.14039483870495048,-0.19874271356496553,0.0,0.0,False
MG_L252_T-2_C25,252,-0.02,25.0,-0.044569347864974906,-0.14280860724959724,-0.30203319479990964,0.6206896551724138,0.18049473190618803,False
MG_L252_T0_C50,252,0.0,50.0,-0.04582320257477468,-0.14927797554508504,-0.3020331947999101,0.5517241379310345,0.14672865779343558,False
MG_L252_T2_C50,252,0.02,50.0,-0.04582320257477468,-0.14927797554508504,-0.3020331947999101,0.5517241379310345,0.14672865779343558,False
