policy_id,lookback,threshold,switching_cost_bps,sample,method,mean_exposure,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
MG_L90_T0_C25,90,0.0,25.0,development,AUR,0.4482758620689655,604,0.032718655908931416,0.013522884345423813,0.0794065501048711,0.17029935600481738,0.1359099854034633,-0.1522509558934404
MG_L90_T0_C25,90,0.0,25.0,development,QAUR,0.4482758620689655,604,0.032718655908931416,0.013522884345423813,0.0794065501048711,0.17029935600481738,0.1359099854034633,-0.1522509558934404
MG_L90_T0_C25,90,0.0,25.0,historical_holdout,AUR,0.6666666666666666,312,0.02036617612412317,0.016417648628205717,0.12637599216526596,0.12991113538982807,0.13332178341829481,-0.13096078514839327
MG_L90_T0_C25,90,0.0,25.0,historical_holdout,QAUR,0.6666666666666666,312,0.06753796295687287,0.054204815519873106,0.12603744771835812,0.43006913025562515,0.4442260935485917,-0.13096078514839327
MG_L90_T0_C25,90,0.0,25.0,observed_2026,AUR,0.25,160,0.03955360774883965,0.06300143718265239,0.09053805267571875,0.6958558895485129,0.49819571225958015,-0.06641663639870699
MG_L90_T0_C25,90,0.0,25.0,observed_2026,QAUR,0.25,160,0.03949273732333447,0.06290340547986784,0.0905494777193449,0.6946854588696232,0.49732215024098647,-0.06641663639870687
MG_L120_T0_C25,120,0.0,25.0,development,AUR,0.5172413793103449,604,0.03643386040177443,0.0150425331222388,0.11826347170826812,0.12719509164542084,0.10092874290273819,-0.30203319479990964
MG_L120_T0_C25,120,0.0,25.0,development,QAUR,0.5172413793103449,604,0.03643386040177443,0.0150425331222388,0.11826347170826812,0.12719509164542084,0.10092874290273819,-0.30203319479990964
MG_L120_T0_C25,120,0.0,25.0,historical_holdout,AUR,0.6666666666666666,312,0.10866669140408991,0.08688957439906964,0.1335700026219155,0.6505171273000575,0.7092078624624448,-0.13096078514839293
MG_L120_T0_C25,120,0.0,25.0,historical_holdout,QAUR,0.6666666666666666,312,0.16786044578206227,0.13352512688457385,0.13716685697483874,0.9734503642455486,1.0845357224208814,-0.13096078514839293
MG_L120_T0_C25,120,0.0,25.0,observed_2026,AUR,0.375,160,0.0911207686737161,0.1472278865017853,0.1018031546818309,1.4462016129256698,1.2633909428037982,-0.03739451144014039
MG_L120_T0_C25,120,0.0,25.0,observed_2026,QAUR,0.375,160,0.0910568787646513,0.1471220873003336,0.10181359232335925,1.4450142062866704,1.2622482738199194,-0.0373945114401405
MG_L160_T0_C25,160,0.0,25.0,development,AUR,0.5517241379310345,604,0.021783029061678727,0.00903125071298172,0.12219235211274651,0.07391011431426259,0.059575480446860146,-0.30203319479990964
MG_L160_T0_C25,160,0.0,25.0,development,QAUR,0.5517241379310345,604,0.021783029061678727,0.00903125071298172,0.12219235211274651,0.07391011431426259,0.059575480446860146,-0.30203319479990964
MG_L160_T0_C25,160,0.0,25.0,historical_holdout,AUR,0.8,312,0.12152178189029894,0.09705728688451876,0.13558735652017628,0.7158284472496225,0.8441828120629838,-0.1366936632208784
MG_L160_T0_C25,160,0.0,25.0,historical_holdout,QAUR,0.8,312,0.18140189320011135,0.14412910897867515,0.1391204095136605,1.036002621632039,1.248211220728708,-0.1366936632208784
MG_L160_T0_C25,160,0.0,25.0,observed_2026,AUR,0.625,160,0.15269104501772923,0.25082872974262793,0.1381857091781103,1.8151568004715293,2.4194816907329817,-0.07598449611010538
MG_L160_T0_C25,160,0.0,25.0,observed_2026,QAUR,0.625,160,0.15262354989880156,0.25071337630473023,0.13819363828071235,1.8142179294495224,2.418081800794487,-0.07598449611010516
MG_L200_T0_C25,200,0.0,25.0,development,AUR,0.5862068965517241,604,-0.06279751986806204,-0.026696277526181644,0.12642971915543755,-0.2111550805025535,-0.18332486739532874,-0.30203319479990964
MG_L200_T0_C25,200,0.0,25.0,development,QAUR,0.5862068965517241,604,-0.06279751986806204,-0.026696277526181644,0.12642971915543755,-0.2111550805025535,-0.18332486739532874,-0.30203319479990964
MG_L200_T0_C25,200,0.0,25.0,historical_holdout,AUR,0.9333333333333333,312,0.15382676863688038,0.12251070896834793,0.13534060812885493,0.905202885239795,1.1095906931099684,-0.13096078514839304
MG_L200_T0_C25,200,0.0,25.0,historical_holdout,QAUR,0.9333333333333333,312,0.21544314519817398,0.1706835717195596,0.13879725517305044,1.2297330484436004,1.542373341305333,-0.13096078514839304
