method,start_fold,end_fold,end_date,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
AUR,36,41,2025-10-01,125,0.12568535259327107,0.2695701489517104,0.1924107601768592,1.4010138970602692,1.8520776095986669,-0.12177968459904964
AUR,37,42,2025-10-31,128,0.19940480857690668,0.43042104323742514,0.14232201422826862,3.0242759391184406,5.138464912990062,-0.08963343757604758
AUR,38,43,2025-12-01,129,0.14056261651578028,0.2929494981683636,0.13933941282127787,2.102416625970083,3.4921216532631942,-0.08963343757604791
AUR,39,44,2025-12-31,129,0.11290073119152422,0.23240114011780344,0.1456885139119392,1.5951919192358384,2.8236015217077357,-0.10962655781342301
AUR,40,45,2026-01-28,124,0.05385774023205436,0.11249708610957354,0.15264490536913644,0.7369855275387366,1.4165097014708574,-0.10962655781342168
AUR,41,46,2026-02-27,119,0.05252189650852235,0.1144939297778238,0.1491963920909713,0.7674041454568958,1.541182349901218,-0.10962655781342212
AUR,42,47,2026-04-01,121,0.06280577914110741,0.13525673712678343,0.1505872937207404,0.8981948860679639,1.3884906407290751,-0.08125418754941283
AUR,43,48,2026-04-29,118,0.16145838965478077,0.3766431108994519,0.16059635435247058,2.34527808814894,4.199927441970744,-0.06408184394287497
AUR,44,49,2026-06-01,118,0.23632709897936466,0.5731112616401726,0.16211539846879452,3.5352055822784183,6.143223958487205,-0.057399710992872
AUR,45,50,2026-07-01,118,0.18824167697138128,0.44532708864937764,0.15798819721135085,2.818736440505333,4.570465062331905,-0.051790612308828865
AUR,46,51,2026-07-31,122,0.12220833525511465,0.2689090294393466,0.15274418660562658,1.7605189134539598,2.616394873311546,-0.10778780420055789
QAUR,0,5,2022-09-30,125,-0.2239039750271763,-0.4001128412676741,0.24970768387731426,-1.6023249066867182,-2.0079790698115803,-0.30203319479991064
QAUR,1,6,2022-11-01,128,-0.1453557209879528,-0.2659891389054291,0.23210844578498868,-1.1459692386714158,-1.4731217667708236,-0.18843886947516286
QAUR,2,7,2022-12-01,129,-0.3327374095375556,-0.5463031152489826,0.18606310312516244,-2.9361174035751243,-3.7809457600139456,-0.3604096274500377
QAUR,3,8,2022-12-30,128,-0.3427819328471242,-0.5623614544936242,0.18694385308067024,-3.008183715197917,-4.05028193508762,-0.3587711493045703
QAUR,4,9,2023-02-01,124,-0.3029550441773079,-0.5197521005915923,0.19238042771191813,-2.7016890791505044,-3.68424855311917,-0.35877114930457044
QAUR,5,10,2023-03-01,122,-0.28634419201355643,-0.5018383196089834,0.20016817920058866,-2.507083401633438,-3.583302274948822,-0.3548571887573795
QAUR,6,11,2023-03-31,124,-0.23828639641993565,-0.424864396766949,0.19861650911138626,-2.1391192437516886,-2.9927725163264363,-0.32942933347293935
QAUR,7,12,2023-04-28,122,-0.21675971063347999,-0.3962844881795963,0.18929622594303708,-2.093462171289384,-2.773970721207629,-0.30849623969827267
QAUR,8,13,2023-06-01,121,0.17875014794496447,0.40846527882389894,0.14083394432320365,2.90033259230815,5.2894016147864935,-0.08969131342265757
QAUR,9,14,2023-06-30,121,0.25665110431193194,0.6092703060881999,0.11668817547200445,5.221354294243588,10.108079151899139,-0.025517177619234888
QAUR,10,15,2023-08-01,126,0.24060524349084278,0.5391013701769733,0.1066857341029729,5.053172054443882,10.51361434930695,-0.02551717761923511
QAUR,11,16,2023-08-31,128,0.17960682364436908,0.38430810736471566,0.09818085715232411,3.9142875557551435,7.760820296396707,-0.0420634989177342
QAUR,12,17,2023-09-29,125,0.13808830644668646,0.2979284067079784,0.0888563974753096,3.3529201630165493,6.172786237817547,-0.04214344146758975
QAUR,13,18,2023-11-01,128,0.08970210092475273,0.1842672191075274,0.09519754174711921,1.935630014449439,2.9486699235606535,-0.07339179655942818
QAUR,14,19,2023-12-01,129,-0.007653200002046945,-0.014895882284516548,0.08195751110900701,-0.18175127676466876,-0.24633718036918872,-0.07339179655942796
QAUR,15,20,2023-12-29,128,0.021677956052852165,0.04312651043799387,0.08844987065744792,0.4875813849973381,0.6740041443843904,-0.07339179655942785
QAUR,16,21,2024-02-01,129,0.05583408390935585,0.11197207713781498,0.09357766770543975,1.1965683681097552,1.7304268113938601,-0.07339179655942807
QAUR,17,22,2024-03-01,123,0.1279436882119176,0.2797508965148918,0.09585822164874515,2.9183818738051244,4.254123895306971,-0.05786561349702102
QAUR,18,23,2024-04-01,125,0.18218956801418784,0.40131973840072876,0.10050693114268142,3.992955847303786,6.237854891581529,-0.04549102351952772
QAUR,19,24,2024-04-26,120,0.1959456821327874,0.45610956883278786,0.09597206804676925,4.752524126191757,8.549035630336286,-0.044221500283965764
QAUR,20,25,2024-05-31,120,0.2043939882413497,0.4777943983679587,0.10348892786264094,4.616864897877065,8.667920419615882,-0.04422150028396532
QAUR,21,26,2024-07-01,121,0.19481494939169575,0.4487377572050799,0.10091477251116256,4.446700379326955,8.971222674652264,-0.044221500283965764
QAUR,22,27,2024-08-01,121,0.14517770619001302,0.3262069430430159,0.09680110657589178,3.36986791351678,6.712201815395017,-0.04422150028396565
QAUR,23,28,2024-08-30,126,0.10847887120675637,0.22872540791180485,0.09062749159884309,2.5237971820321756,4.323346952494699,-0.04422150028396565
QAUR,24,29,2024-10-01,125,0.09305594217831148,0.1964734261575467,0.08433616018651545,2.3296463310996334,3.610751630928358,-0.04090891832140475
QAUR,25,30,2024-11-01,130,0.1310749304092096,0.2696703452552216,0.08013633815399047,3.3651443460895534,5.622334458721932,-0.030244096925345132
QAUR,26,31,2024-11-29,128,0.09726239559602634,0.20049757855793615,0.06898804463839639,2.906265565415751,4.436346753510996,-0.03475552016869088
QAUR,27,32,2024-12-31,129,0.0877074751858602,0.17849023574190648,0.06546330757838979,2.7265691628577016,4.036253855857213,-0.03475552016869188
QAUR,28,33,2025-01-24,123,0.07837662283333713,0.16718443791210524,0.06519997344377,2.5641795399853815,3.6327467486406015,-0.03475552016869132
QAUR,29,34,2025-02-28,122,0.08531668268452819,0.18425309879170948,0.06488831997363963,2.8395418292007077,4.884836406447254,-0.034755520168690546
QAUR,30,35,2025-04-01,124,0.05161449851217581,0.10768986121307322,0.06367880383752979,1.6911413959318917,2.761549692677754,-0.03008136943455486
QAUR,31,36,2025-04-29,120,-0.015412969470132043,-0.032092995976539584,0.1574401185610884,-0.20384255467952517,-0.21699966357994452,-0.13096078514839304
QAUR,32,37,2025-05-30,120,0.005453419145446725,0.011486535888190819,0.1623016164559607,0.0707727756445827,0.07904696798740427,-0.13096078514839338
QAUR,33,38,2025-07-01,120,0.026841873922075266,0.0572008369000907,0.1686870621027744,0.3390943928185819,0.39480016279155344,-0.13096078514839304
QAUR,34,39,2025-08-01,126,0.12038430956046531,0.2552610011092806,0.1826674528911637,1.3974082249965425,1.7472889715302857,-0.1309607851483935
QAUR,35,40,2025-08-29,126,0.16777629991002985,0.36370148663156,0.19413578532606757,1.8734386657292081,2.426794681072065,-0.1309607851483936
QAUR,36,41,2025-10-01,125,0.17981320022081948,0.39564676692526035,0.20573312810036296,1.9231067479431494,2.666592237080523,-0.12177968459904964
QAUR,37,42,2025-10-31,128,0.2532706262476183,0.5596452251384041,0.15155501347004996,3.6926869809490017,6.700527596824368,-0.0657105151794386
QAUR,38,43,2025-12-01,129,0.20145935301755724,0.4312344000551882,0.14701448432351485,2.933278323149637,5.138016996025835,-0.06740945704014345
QAUR,39,44,2025-12-31,129,0.1433227925055054,0.2990689255141734,0.15637185540522086,1.9125495744689376,3.286417503382514,-0.1025584727855623
QAUR,40,45,2026-01-28,124,0.07522964839437929,0.15882706808677183,0.1550193851014454,1.0245626247506703,1.8630509131484003,-0.10255847278556252
QAUR,41,46,2026-02-27,119,0.055950759342727974,0.12219658182537763,0.1495830931974771,0.8169143932867851,1.5461033334404595,-0.1025584727855624
QAUR,42,47,2026-04-01,121,0.0618144768075799,0.13305258201736048,0.14750327770676191,0.9020313588005171,1.33773994334161,-0.07970496079251421
QAUR,43,48,2026-04-29,118,0.16389968567715063,0.38283003435004126,0.16566661726292475,2.3108459668882033,3.8654170925684164,-0.05298412930026497
QAUR,44,49,2026-06-01,118,0.2289505539540373,0.5531345408922816,0.16900427782730384,3.2729026034329105,5.361651104647617,-0.0505493811983444
QAUR,45,50,2026-07-01,118,0.18817210020694985,0.44514635888418064,0.1579980843045085,2.8174161784534895,4.567969236172174,-0.0517906123088282
QAUR,46,51,2026-07-31,122,0.12220833525511465,0.2689090294393466,0.15274418660562658,1.7605189134539598,2.616394873311546,-0.10778780420055789
