fold,configuration,selector,solver,selected_tickers,objective,optimality_gap,feasibility_rate,turnover,transaction_cost,covariance_method,expected_return_source
8,adaptive_simulated_annealing,adaptive,simulated_annealing,VCB|ACB|VPI|LPB,0.016574837046280974,0.0,1.0,2.0,0.004347928732960501,ewma,xgboost_calibrated
9,liquidity_topk_exact,liquidity,exact,TCB|VHM|VIX|SHB,-0.15821099206649442,0.0,1.0,1.999999999998048,0.004596762290926991,ewma,ewma
9,ewma_topk_exact,ewma,exact,VIC|DTA|HVH|SHB,-0.25569802564894306,0.0,1.0,2.0,0.004581761576368871,ewma,ewma
9,xgboost_topk_exact,xgboost,exact,ORS|C32|ADP|HUB,-0.0708623789819009,0.0,1.0,1.9999999999999758,0.004710483605813327,ewma,xgboost_calibrated
9,adaptive_exact,adaptive,exact,ORS|ACB|C32|SMB,-0.06974811445418955,0.0,1.0,1.8143247783857632,0.004116322996348983,ewma,xgboost_calibrated
9,xgboost_penalty_qaoa,xgboost,penalty_qaoa_ideal_statevector,SMB|C32|ADP|HUB,-0.06894445267431516,0.027065508315047265,0.30615234375,1.4655745347805311,0.003467086912959317,ewma,xgboost_calibrated
9,xgboost_xy_qaoa,xgboost,xy_qaoa_dicke_ideal_statevector,ORS|C32|ADP|HUB,-0.0708623789819009,0.0,1.0,1.9999999999999758,0.004710483605813327,ewma,xgboost_calibrated
9,adaptive_penalty_qaoa,adaptive,penalty_qaoa_ideal_statevector,ORS|ACB|C32|SMB,-0.06974811445418955,0.0,0.4951171875,1.814324778385763,0.004116322996348983,ewma,xgboost_calibrated
9,adaptive_xy_qaoa,adaptive,xy_qaoa_dicke_ideal_statevector,ORS|ACB|C32|SMB,-0.06974811445418955,0.0,1.0,1.814324778385763,0.004116322996348983,ewma,xgboost_calibrated
9,adaptive_simulated_annealing,adaptive,simulated_annealing,ORS|ACB|C32|SMB,-0.06974811445418955,0.0,1.0,1.8143247783857632,0.004116322996348983,ewma,xgboost_calibrated
10,liquidity_topk_exact,liquidity,exact,SSI|SHB|HPG|VPB,-0.21775138630601565,0.0,1.0,1.6000000000005323,0.0036747867460230994,ewma,ewma
10,ewma_topk_exact,ewma,exact,LDG|SJS|GEX|HSL,-0.49529062803870916,0.0,1.0,1.9999999999973652,0.004592095560708135,ewma,ewma
10,xgboost_topk_exact,xgboost,exact,CTG|BRC|SZL|SMB,-0.06482324552740337,0.0,1.0,2.0,0.004494051669358883,ewma,xgboost_calibrated
10,adaptive_exact,adaptive,exact,CTG|VNM|IMP|SAB,-0.058420337498852656,0.0,1.0,2.0,0.004333107210940859,ewma,xgboost_calibrated
10,xgboost_penalty_qaoa,xgboost,penalty_qaoa_ideal_statevector,CTG|THG|BRC|SMB,-0.06302338287781979,0.027765697859033316,0.3056640625,1.4556501259041967,0.003231857540324141,ewma,xgboost_calibrated
