date,event,fold,observations,return_applied,ticker,window
,non_trading_mark_carry,0,1.0,,ITD,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,JVC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,KBC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,KDC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,KDH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,KOS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,KSB,estimation_classical_benchmark
,non_trading_mark_carry,0,10.0,,LCM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,LGL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,LHG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,LPB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,LSS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,MBB,estimation_classical_benchmark
,non_trading_mark_carry,0,9.0,,MCG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,MSH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,MSN,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,MWG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,NAF,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,NCT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,NHH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,NKG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,NT2,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,NTL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,NVL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,NVT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,OCB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,OGC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,OPC,estimation_classical_benchmark
,non_trading_mark_carry,0,129.0,,ORS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PAN,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PC1,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PDR,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PGC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PGD,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PGI,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PHC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PLP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PLX,estimation_classical_benchmark
,non_trading_mark_carry,0,9.0,,POM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,POW,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PPC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PTB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PTL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PVD,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,PVT,estimation_classical_benchmark
,non_trading_mark_carry,0,9.0,,PXI,estimation_classical_benchmark
,non_trading_mark_carry,0,9.0,,PXS,estimation_classical_benchmark
,non_trading_mark_carry,0,14.0,,QBS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,QCG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,RAL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,REE,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SAB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SAV,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SBV,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SFG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SGN,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SGT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SHA,estimation_classical_benchmark
,non_trading_mark_carry,0,109.0,,SHB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SHI,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SJD,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SKG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SMB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SMC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SSB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SSI,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,STB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,STK,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SVT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,SZC,estimation_classical_benchmark
