policy_id,lookback,threshold,switching_cost_bps,sample,method,mean_exposure,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
MG_L160_T-2_C100,160,-0.02,100.0,observed_2026,AUR,0.75,160,0.16591162953005334,0.27349831284428716,0.1449145237446245,1.8873078127507728,2.7627552662319013,-0.09165707923390454
MG_L160_T-2_C100,160,-0.02,100.0,observed_2026,QAUR,0.75,160,0.1658433602878886,0.27338086878096424,0.14492213226239847,1.8863983334579717,2.7612722381548798,-0.09165707923390409
MG_L160_T0_C0,160,0.0,0.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L160_T0_C0,160,0.0,0.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L160_T0_C0,160,0.0,0.0,development,AUR,0.5517241379310345,604,0.034614834136087236,0.014298885020691987,0.12225806191021617,0.1169565818178338,0.09371178748003575,-0.30203319479990975
MG_L160_T0_C0,160,0.0,0.0,development,QAUR,0.5517241379310345,604,0.034614834136087236,0.014298885020691987,0.12225806191021617,0.1169565818178338,0.09371178748003575,-0.30203319479990975
MG_L160_T0_C0,160,0.0,0.0,historical_holdout,AUR,0.8,312,0.1328188391402032,0.10597418294891803,0.13542764236043667,0.7825151579237485,0.9139836159995337,-0.13096078514839327
MG_L160_T0_C0,160,0.0,0.0,historical_holdout,QAUR,0.8,312,0.1933021211209036,0.15342860543249248,0.13895492054137246,1.1041610101659598,1.317403748905066,-0.13096078514839327
MG_L160_T0_C0,160,0.0,0.0,observed_2026,AUR,0.625,160,0.16137847765991897,0.2657084903143401,0.1380078001326999,1.9253150188529269,2.5224636483232246,-0.07134796043527825
MG_L160_T0_C0,160,0.0,0.0,observed_2026,QAUR,0.625,160,0.16131047385368746,0.265591764640982,0.13801577062934073,1.9243580891510084,2.5210695599752175,-0.07134796043527847
MG_L160_T0_C25,160,0.0,25.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L160_T0_C25,160,0.0,25.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L160_T0_C25,160,0.0,25.0,development,AUR,0.5517241379310345,604,0.021783029061678727,0.00903125071298172,0.12219235211274651,0.07391011431426259,0.059575480446860146,-0.30203319479990964
MG_L160_T0_C25,160,0.0,25.0,development,QAUR,0.5517241379310345,604,0.021783029061678727,0.00903125071298172,0.12219235211274651,0.07391011431426259,0.059575480446860146,-0.30203319479990964
MG_L160_T0_C25,160,0.0,25.0,historical_holdout,AUR,0.8,312,0.12152178189029894,0.09705728688451876,0.13558735652017628,0.7158284472496225,0.8441828120629838,-0.1366936632208784
MG_L160_T0_C25,160,0.0,25.0,historical_holdout,QAUR,0.8,312,0.18140189320011135,0.14412910897867515,0.1391204095136605,1.036002621632039,1.248211220728708,-0.1366936632208784
MG_L160_T0_C25,160,0.0,25.0,observed_2026,AUR,0.625,160,0.15269104501772923,0.25082872974262793,0.1381857091781103,1.8151568004715293,2.4194816907329817,-0.07598449611010538
MG_L160_T0_C25,160,0.0,25.0,observed_2026,QAUR,0.625,160,0.15262354989880156,0.25071337630473023,0.13819363828071235,1.8142179294495224,2.418081800794487,-0.07598449611010516
MG_L160_T0_C50,160,0.0,50.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L160_T0_C50,160,0.0,50.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L160_T0_C50,160,0.0,50.0,development,AUR,0.5517241379310345,604,0.0090788576553531,0.00377789469795764,0.12223261148486642,0.030907420303503703,0.024958862444322133,-0.3020331947999101
MG_L160_T0_C50,160,0.0,50.0,development,QAUR,0.5517241379310345,604,0.0090788576553531,0.00377789469795764,0.12223261148486642,0.030907420303503703,0.024958862444322133,-0.3020331947999101
MG_L160_T0_C50,160,0.0,50.0,historical_holdout,AUR,0.8,312,0.11030943109799507,0.08819015501702943,0.13589411773189733,0.6489622692206438,0.768147738270299,-0.14532451965673954
MG_L160_T0_C50,160,0.0,50.0,historical_holdout,QAUR,0.8,312,0.1695908943705342,0.1348815119716329,0.139429199943973,0.9673835324726278,1.1699090916697696,-0.14532451965673954
MG_L160_T0_C50,160,0.0,50.0,observed_2026,AUR,0.625,160,0.14404704369246213,0.23608721939318134,0.13857397706683242,1.703690868880234,2.3079297894429915,-0.08060942824821105
MG_L160_T0_C50,160,0.0,50.0,observed_2026,QAUR,0.625,160,0.14398005471774367,0.23597322544108557,0.1385818529086029,1.7027714703505512,2.3065451998766124,-0.08060942824821105
MG_L160_T0_C100,160,0.0,100.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L160_T0_C100,160,0.0,100.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L160_T0_C100,160,0.0,100.0,development,AUR,0.5517241379310345,604,-0.015950397463221133,-0.006685994763107828,0.1226303455504595,-0.05452153570224344,-0.044363184808089456,-0.30203319479990987
MG_L160_T0_C100,160,0.0,100.0,development,QAUR,0.5517241379310345,604,-0.015950397463221133,-0.006685994763107828,0.1226303455504595,-0.05452153570224344,-0.044363184808089456,-0.30203319479990987
MG_L160_T0_C100,160,0.0,100.0,historical_holdout,AUR,0.8,312,0.08813715200510641,0.07060456950580196,0.13694435499745342,0.5155712296948268,0.6099026038546737,-0.162391926951731
MG_L160_T0_C100,160,0.0,100.0,historical_holdout,QAUR,0.8,312,0.14623479650433802,0.11654137557003463,0.14047246656938503,0.8296385648818243,1.0026295699238814,-0.162391926951731
MG_L160_T0_C100,160,0.0,100.0,observed_2026,AUR,0.625,160,0.1268888996488713,0.20701518533957564,0.13997363910628863,1.4789583714572083,2.0227679424601854,-0.08982448191425807
MG_L160_T0_C100,160,0.0,100.0,observed_2026,QAUR,0.625,160,0.1268229153587801,0.20690387245723407,0.1399813747276376,1.4780814437621281,2.0214632404514674,-0.08982448191425818
MG_L160_T2_C0,160,0.02,0.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L160_T2_C0,160,0.02,0.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L160_T2_C0,160,0.02,0.0,development,AUR,0.5517241379310345,604,0.034614834136087236,0.014298885020691987,0.12225806191021617,0.1169565818178338,0.09371178748003575,-0.30203319479990975
MG_L160_T2_C0,160,0.02,0.0,development,QAUR,0.5517241379310345,604,0.034614834136087236,0.014298885020691987,0.12225806191021617,0.1169565818178338,0.09371178748003575,-0.30203319479990975
