policy_id,lookback,threshold,switching_cost_bps,fold,method,market_growth,exposure
MG_L120_T2_C0,120,0.02,0.0,19,AUR,0.01730312925256361,0.0
MG_L120_T2_C0,120,0.02,0.0,20,AUR,-0.024598062295543066,0.0
MG_L120_T2_C0,120,0.02,0.0,21,AUR,0.004622120552185027,0.0
MG_L120_T2_C0,120,0.02,0.0,22,AUR,-0.07575136013359884,0.0
MG_L120_T2_C0,120,0.02,0.0,23,AUR,-0.040864890615007976,0.0
MG_L120_T2_C0,120,0.02,0.0,24,AUR,0.07715443305496383,1.0
MG_L120_T2_C0,120,0.02,0.0,25,AUR,0.10302088449724911,1.0
MG_L120_T2_C0,120,0.02,0.0,26,AUR,0.09676155026190392,1.0
MG_L120_T2_C0,120,0.02,0.0,27,AUR,0.07371898608265925,1.0
MG_L120_T2_C0,120,0.02,0.0,28,AUR,0.01965975386132124,0.0
MG_L120_T2_C0,120,0.02,0.0,29,AUR,-0.0072542065255294386,0.0
MG_L120_T2_C0,120,0.02,0.0,30,AUR,-0.011283607668235107,0.0
MG_L120_T2_C0,120,0.02,0.0,31,AUR,-0.014685160837886402,0.0
MG_L120_T2_C0,120,0.02,0.0,32,AUR,-0.056868005780532305,0.0
MG_L120_T2_C0,120,0.02,0.0,33,AUR,-0.02539573499338177,0.0
MG_L120_T2_C0,120,0.02,0.0,34,AUR,0.06898929225284345,1.0
MG_L120_T2_C0,120,0.02,0.0,35,AUR,0.11729670846142648,1.0
MG_L120_T2_C0,120,0.02,0.0,36,AUR,0.09810903686953099,1.0
MG_L120_T2_C0,120,0.02,0.0,37,AUR,0.0071914907246584114,0.0
MG_L120_T2_C0,120,0.02,0.0,38,AUR,0.053068488220826104,1.0
MG_L120_T2_C0,120,0.02,0.0,39,AUR,0.04672025404935343,1.0
MG_L120_T2_C0,120,0.02,0.0,40,AUR,0.13272610136142982,1.0
MG_L120_T2_C0,120,0.02,0.0,41,AUR,0.12547710920081934,1.0
MG_L120_T2_C0,120,0.02,0.0,42,AUR,0.3761534411362204,1.0
MG_L120_T2_C0,120,0.02,0.0,43,AUR,0.18300060076832914,1.0
MG_L120_T2_C0,120,0.02,0.0,44,AUR,0.15109500031127077,1.0
MG_L120_T2_C0,120,0.02,0.0,45,AUR,0.09183288368768627,1.0
