fold,decision_time,mode,regime,fast_days,slow_days,fast_market_return,slow_market_return,market_volatility_annualized,target_market_volatility,volatility_scale,equity_exposure,cash_weight,forced_by_expected_return_filter,selected_expected_return,solver_solution_selection
32,2024-12-30,market_trend_volatility,insufficient_positive_candidates,63,126,-0.0385355165746154,-0.1116497801902433,0.05978341761705394,0.22,1.0,0.25,0.75,True,-0.0009171665535393188,best_observed_feasible
33,2025-01-30,market_trend_volatility,risk_off,63,126,-0.022314712685663984,-0.038514420047620956,0.0656511021621325,0.22,1.0,0.25,0.75,False,0.005465001525172614,best_observed_feasible
34,2025-02-27,market_trend_volatility,mixed,63,126,0.007575148879282789,-0.04931273764494859,0.06399800113732135,0.22,1.0,0.6,0.4,False,0.005372128534299128,best_observed_feasible
35,2025-03-28,market_trend_volatility,risk_off,63,126,-0.020034808896158274,-0.0555899621710122,0.060963418618306106,0.22,1.0,0.25,0.75,False,0.009625955003533108,best_observed_feasible
36,2025-04-29,market_trend_volatility,risk_off,63,126,-0.140624843315858,-0.1601516618014548,0.2971735842163694,0.22,0.7403080612973325,0.25,0.75,False,0.0019618867401939143,best_observed_feasible
37,2025-05-30,market_trend_volatility,insufficient_positive_candidates,63,126,-0.14214235900242134,-0.12959975477291252,0.2968792507381148,0.22,0.7410420211349427,0.25,0.75,True,-0.00848655742999533,best_observed_feasible
38,2025-06-27,market_trend_volatility,risk_off,63,126,-0.13384079581016006,-0.15515996421432565,0.2641658847117891,0.22,0.8328100361635453,0.25,0.75,False,0.010971344859515479,best_observed_feasible
39,2025-07-30,market_trend_volatility,mixed,63,126,0.05285887567213576,-0.09331124557277182,0.07086653365297242,0.22,1.0,0.6,0.4,False,0.019125375813436943,best_observed_feasible
40,2025-08-29,market_trend_volatility,risk_off,63,126,-0.005896738197862406,-0.13797436215533387,0.12946081634424988,0.22,1.0,0.25,0.75,False,0.0123717193723832,best_observed_feasible
41,2025-09-29,market_trend_volatility,risk_off,63,126,-0.019200611006014445,-0.08443942495199153,0.13755381242316345,0.22,1.0,0.25,0.75,False,0.020906831539480284,best_observed_feasible
42,2025-10-30,market_trend_volatility,risk_off,63,126,-0.10111854105965123,-0.08226171128495607,0.15010675672197737,0.22,1.0,0.25,0.75,False,0.004930241303083628,best_observed_feasible
43,2025-11-28,market_trend_volatility,risk_off,63,126,-0.10744954365901704,-0.11135942107329666,0.13890070093846948,0.22,1.0,0.25,0.75,False,0.001662184874967279,best_observed_feasible
