fold,feature,training_coverage,active
18,revenue_growth_yoy_pit,0.0,False
18,policy_rate_pit,0.0,False
19,return_5d,0.9996342540752536,True
19,return_20d,0.9985370163010145,True
19,return_60d,0.9956110489030435,True
19,return_120d,0.9911320680399958,True
19,sma_ratio_20,0.9986101654859638,True
19,ema_ratio_20,1.0,True
19,rsi_14,0.9863942515994351,True
19,macd,1.0,True
19,atr_14,0.9990490605956595,True
19,volatility_20d,0.9985370163010145,True
19,downside_volatility_20d,0.9986101654859638,True
19,drawdown_60d,0.9956841980879928,True
19,liquidity_20d,0.9986101654859638,True
19,beta_60d,0.9956110489030435,True
19,roe_pit,0.0,False
19,revenue_growth_yoy_pit,0.0,False
19,policy_rate_pit,0.0,False
20,return_5d,0.9996111471160077,True
20,return_20d,0.9985460283468117,True
20,return_60d,0.9956155428442616,True
20,return_120d,0.9912198145904365,True
20,sma_ratio_20,0.9986192904843755,True
20,ema_ratio_20,1.0,True
20,rsi_14,0.9873087435543407,True
20,macd,1.0,True
20,atr_14,0.9990363211135845,True
20,volatility_20d,0.9985460283468117,True
20,downside_volatility_20d,0.9986192904843755,True
20,drawdown_60d,0.9956888049818253,True
20,liquidity_20d,0.9986192904843755,True
20,beta_60d,0.9956155428442616,True
20,roe_pit,0.0,False
20,revenue_growth_yoy_pit,0.0,False
20,policy_rate_pit,0.0,False
21,return_5d,0.999633839948625,True
21,return_20d,0.9985071936367016,True
21,return_60d,0.9955779132257011,True
21,return_120d,0.9911839926092002,True
21,sma_ratio_20,0.9985860588785362,True
21,ema_ratio_20,1.0,True
21,rsi_14,0.9877871539787515,True
21,macd,1.0,True
21,atr_14,0.9990479838664248,True
21,volatility_20d,0.9985071936367016,True
21,downside_volatility_20d,0.9985860588785362,True
21,drawdown_60d,0.9956511452359761,True
21,liquidity_20d,0.9985860588785362,True
21,beta_60d,0.9955779132257011,True
21,roe_pit,0.0,False
21,revenue_growth_yoy_pit,0.0,False
21,policy_rate_pit,0.0,False
22,return_5d,0.9996913216484546,True
22,return_20d,0.9986867139225161,True
22,return_60d,0.9957177894140162,True
22,return_120d,0.9913401691557366,True
22,sma_ratio_20,0.9987596742601541,True
22,ema_ratio_20,1.0,True
22,rsi_14,0.9882197116382964,True
22,macd,1.0,True
22,atr_14,0.9991918239523176,True
22,volatility_20d,0.9986867139225161,True
22,downside_volatility_20d,0.9987596742601541,True
22,drawdown_60d,0.9957907497516543,True
22,liquidity_20d,0.9987596742601541,True
22,beta_60d,0.9957177894140162,True
22,roe_pit,0.0,False
22,revenue_growth_yoy_pit,0.0,False
22,policy_rate_pit,0.0,False
23,return_5d,0.9997126436781609,True
23,return_20d,0.9988618435880099,True
23,return_60d,0.9961122379986478,True
23,return_120d,0.9917004732927653,True
23,sma_ratio_20,0.9989238224025242,True
23,ema_ratio_20,1.0,True
23,rsi_14,0.987998647734956,True
23,macd,1.0,True
23,atr_14,0.9992618886635114,True
23,volatility_20d,0.9988618435880099,True
23,downside_volatility_20d,0.9989238224025242,True
23,drawdown_60d,0.9961911201262114,True
23,liquidity_20d,0.9989238224025242,True
23,beta_60d,0.9961122379986478,True
23,roe_pit,0.0,False
23,revenue_growth_yoy_pit,0.0,False
23,policy_rate_pit,0.0,False
24,return_5d,0.999747013352073,True
24,return_20d,0.9988924806746311,True
24,return_60d,0.9964919184820801,True
24,return_120d,0.9920674631061138,True
24,sma_ratio_20,0.9989543218552355,True
24,ema_ratio_20,1.0,True
24,rsi_14,0.9877217146872804,True
24,macd,1.0,True
24,atr_14,0.9993253689388616,True
24,volatility_20d,0.9988924806746311,True
24,downside_volatility_20d,0.9989543218552355,True
24,drawdown_60d,0.9965650035137035,True
24,liquidity_20d,0.9989543218552355,True
24,beta_60d,0.9964919184820801,True
24,roe_pit,0.0,False
24,revenue_growth_yoy_pit,0.0,False
24,policy_rate_pit,0.0,False
25,return_5d,0.9997873209718312,True
25,return_20d,0.9990653316393635,True
25,return_60d,0.9968042177609375,True
25,return_120d,0.9925618308306235,True
25,sma_ratio_20,0.9991157029881403,True
25,ema_ratio_20,1.0,True
25,rsi_14,0.9880284094407101,True
25,macd,1.0,True
25,atr_14,0.9994179310808012,True
25,volatility_20d,0.9990653316393635,True
25,downside_volatility_20d,0.9991157029881403,True
25,drawdown_60d,0.9968601859262451,True
25,liquidity_20d,0.9991157029881403,True
25,beta_60d,0.9968042177609375,True
25,roe_pit,0.0,False
25,revenue_growth_yoy_pit,0.0,False
25,policy_rate_pit,0.0,False
26,return_5d,0.9997466073540177,True
26,return_20d,0.9991046793175291,True
26,return_60d,0.9970944309927361,True
26,return_120d,0.9932428627738048,True
26,sma_ratio_20,0.9991440959513486,True
26,ema_ratio_20,1.0,True
26,rsi_14,0.9876119150853089,True
26,macd,1.0,True
26,atr_14,0.999374964806577,True
26,volatility_20d,0.9991046793175291,True
26,downside_volatility_20d,0.9991440959513486,True
26,drawdown_60d,0.9971563714173095,True
26,liquidity_20d,0.9991440959513486,True
26,beta_60d,0.9970944309927361,True
26,roe_pit,0.0,False
26,revenue_growth_yoy_pit,0.0,False
26,policy_rate_pit,0.0,False
27,return_5d,0.9997349350026788,True
27,return_20d,0.9989735780954798,True
27,return_60d,0.9971745199221724,True
27,return_120d,0.9937343146377915,True
27,sma_ratio_20,0.9990243352226263,True
27,ema_ratio_20,1.0,True
27,rsi_14,0.9868708231114119,True
27,macd,1.0,True
27,atr_14,0.9993288779855061,True
27,volatility_20d,0.9989735780954798,True
27,downside_volatility_20d,0.9990243352226263,True
27,drawdown_60d,0.997225277049319,True
27,liquidity_20d,0.9990243352226263,True
27,beta_60d,0.9971745199221724,True
27,roe_pit,0.0,False
27,revenue_growth_yoy_pit,0.0,False
27,policy_rate_pit,0.0,False
28,return_5d,0.9996905157133613,True
28,return_20d,0.9987620628534452,True
28,return_60d,0.9967588554708381,True
28,return_120d,0.9936583856174211,True
28,sma_ratio_20,0.9988239597107729,True
28,ema_ratio_20,1.0,True
28,rsi_14,0.9866471597782968,True
28,macd,1.0,True
28,atr_14,0.9991953408547394,True
28,volatility_20d,0.9987620628534452,True
28,downside_volatility_20d,0.9988239597107729,True
28,drawdown_60d,0.9967982443800467,True
28,liquidity_20d,0.9988239597107729,True
28,beta_60d,0.9967588554708381,True
28,roe_pit,0.0,False
28,revenue_growth_yoy_pit,0.0,False
28,policy_rate_pit,0.0,False
29,return_5d,0.9996894497614409,True
29,return_20d,0.9987577990457638,True
29,return_60d,0.996454080912453,True
29,return_120d,0.9936534823974479,True
29,sma_ratio_20,0.9988199090934756,True
29,ema_ratio_20,1.0,True
29,rsi_14,0.9865785833262753,True
29,macd,1.0,True
29,atr_14,0.9991925693797464,True
29,volatility_20d,0.9987577990457638,True
29,downside_volatility_20d,0.9988199090934756,True
29,drawdown_60d,0.9965048982242173,True
29,liquidity_20d,0.9988199090934756,True
29,beta_60d,0.996454080912453,True
29,roe_pit,0.0,False
29,revenue_growth_yoy_pit,0.0,False
29,policy_rate_pit,0.0,False
30,return_5d,0.9996903292644476,True
30,return_20d,0.9987613170577901,True
30,return_60d,0.9962839511733705,True
30,return_120d,0.9933955677672177,True
30,sma_ratio_20,0.9988232512049007,True
30,ema_ratio_20,1.0,True
30,rsi_14,0.9864026395207424,True
30,macd,1.0,True
30,atr_14,0.9991948560875636,True
30,volatility_20d,0.9987613170577901,True
30,downside_volatility_20d,0.9988232512049007,True
30,drawdown_60d,0.9963458853204811,True
30,liquidity_20d,0.9988232512049007,True
30,beta_60d,0.9962839511733705,True
30,roe_pit,0.0,False
30,revenue_growth_yoy_pit,0.0,False
30,policy_rate_pit,0.0,False
31,return_5d,0.999635134831713,True
31,return_20d,0.998641578911916,True
31,return_60d,0.9961717223881267,True
31,return_120d,0.9928318027707299,True
31,sma_ratio_20,0.9987033253250107,True
31,ema_ratio_20,1.0,True
31,rsi_14,0.9862754563621259,True
31,macd,1.0,True
31,atr_14,0.999073803803579,True
31,volatility_20d,0.998641578911916,True
31,downside_volatility_20d,0.9987033253250107,True
31,drawdown_60d,0.9962334688012214,True
31,liquidity_20d,0.9987033253250107,True
31,beta_60d,0.9961717223881267,True
31,roe_pit,0.0,False
31,revenue_growth_yoy_pit,0.0,False
31,policy_rate_pit,0.0,False
32,return_5d,0.9996329612124703,True
32,return_20d,0.9985318448498811,True
32,return_60d,0.9959343395842862,True
32,return_120d,0.9923204192147629,True
32,sma_ratio_20,0.9986052526073871,True
32,ema_ratio_20,1.0,True
32,rsi_14,0.9861936948383053,True
32,macd,1.0,True
32,atr_14,0.9990456991524227,True
32,volatility_20d,0.9985318448498811,True
32,downside_volatility_20d,0.9986052526073871,True
32,drawdown_60d,0.9959964538406374,True
32,liquidity_20d,0.9986052526073871,True
32,beta_60d,0.9959343395842862,True
32,roe_pit,0.0,False
32,revenue_growth_yoy_pit,0.0,False
32,policy_rate_pit,0.0,False
33,return_5d,0.9996348088926844,True
33,return_20d,0.9985055256223699,True
33,return_60d,0.9956570349853081,True
33,return_120d,0.9919489406648726,True
33,sma_ratio_20,0.9985841821685609,True
33,ema_ratio_20,1.0,True
33,rsi_14,0.9860553180252712,True
33,macd,1.0,True
33,atr_14,0.9990505031209794,True
33,volatility_20d,0.9985055256223699,True
33,downside_volatility_20d,0.9985841821685609,True
33,drawdown_60d,0.9957188365573153,True
33,liquidity_20d,0.9985841821685609,True
33,beta_60d,0.9956570349853081,True
33,roe_pit,0.0,False
33,revenue_growth_yoy_pit,0.0,False
33,policy_rate_pit,0.0,False
34,return_5d,0.9996350959136356,True
34,return_20d,0.9985403836545425,True
34,return_60d,0.9955818536004806,True
34,return_120d,0.9917307120120812,True
34,sma_ratio_20,0.9986133644718154,True
34,ema_ratio_20,1.0,True
34,rsi_14,0.9861504864452166,True
34,macd,1.0,True
34,atr_14,0.9990512493754526,True
34,volatility_20d,0.9985403836545425,True
34,downside_volatility_20d,0.9986133644718154,True
34,drawdown_60d,0.9956548344177534,True
34,liquidity_20d,0.9986133644718154,True
34,beta_60d,0.9955818536004806,True
34,roe_pit,0.0,False
34,revenue_growth_yoy_pit,0.0,False
34,policy_rate_pit,0.0,False
