sensitivity_factor,fold,depth_p,shots,seed,cardinality,candidate_size,qubit_budget,uniform_probability_noise_proxy,depolarizing_probability,readout_error_probability,noise_model,transaction_cost_bps,energy,optimality_gap,feasibility_rate,runtime_seconds,net_cumulative_return
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.050321567156926025,0.08283196729767432,0.86083984375,0.0901906999933999,-0.019624017474816458
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.047650423568745964,0.13151660985159094,0.86083984375,0.077575799979968,0.0090475908712353
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.047650423568745964,0.13151660985159094,0.86083984375,0.077575799979968,0.008038543280363575
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.047650423568745964,0.13151660985159094,0.86083984375,0.077575799979968,0.006524971894057874
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.0,0.0,ideal,0,-0.04450548340937323,0.0,1.0,0.05863790001603775,-0.0036309735132404874
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.0,0.0,ideal,10,-0.04450548340937323,0.0,1.0,0.05863790001603775,-0.004627342539726742
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.0,0.0,ideal,25,-0.04450548340937323,0.0,1.0,0.05863790001603775,-0.006121896079456679
core_partial_factorial,0,1,2048,23,4,7,8,0.0,0.0,0.0,ideal,0,-0.0372729002660412,0.16250993336354314,1.0,0.0631854000093881,-0.09906836154006526
core_partial_factorial,0,1,2048,23,4,7,8,0.0,0.0,0.0,ideal,10,-0.0372729002660412,0.16250993336354314,1.0,0.0631854000093881,-0.09996929317852521
core_partial_factorial,0,1,2048,23,4,7,8,0.0,0.0,0.0,ideal,25,-0.0372729002660412,0.16250993336354314,1.0,0.0631854000093881,-0.10132069063621496
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.04275249952056319,0.03938804287656514,0.865234375,0.0563574000261724,-0.021155072889229798
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.04275249952056319,0.03938804287656514,0.865234375,0.0563574000261724,-0.022133917816340776
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.04275249952056319,0.03938804287656514,0.865234375,0.0563574000261724,-0.023602185207006188
core_partial_factorial,0,1,2048,23,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.0321000424866952,0.27873960627032757,0.861328125,0.05626549999578856,-0.10060524953731487
core_partial_factorial,0,1,2048,23,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.0321000424866952,0.27873960627032757,0.861328125,0.05626549999578856,-0.10150464428777839
core_partial_factorial,0,1,2048,23,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.0321000424866952,0.27873960627032757,0.861328125,0.05626549999578856,-0.10285373641347195
core_partial_factorial,0,2,256,11,3,7,8,0.0,0.0,0.0,ideal,0,-0.05486624627413408,0.0,1.0,0.026530800008913502,0.018715852752278606
core_partial_factorial,0,2,256,11,3,7,8,0.0,0.0,0.0,ideal,10,-0.05486624627413408,0.0,1.0,0.026530800008913502,0.01769713689952712
core_partial_factorial,0,2,256,11,3,7,8,0.0,0.0,0.0,ideal,25,-0.05486624627413408,0.0,1.0,0.026530800008913502,0.016169063120397897
core_partial_factorial,0,2,256,23,3,7,8,0.0,0.0,0.0,ideal,0,-0.047650423568745964,0.13151660985159094,1.0,0.01908009999897331,0.0090475908712353
core_partial_factorial,0,2,256,23,3,7,8,0.0,0.0,0.0,ideal,10,-0.047650423568745964,0.13151660985159094,1.0,0.01908009999897331,0.008038543280363575
core_partial_factorial,0,2,256,23,3,7,8,0.0,0.0,0.0,ideal,25,-0.047650423568745964,0.13151660985159094,1.0,0.01908009999897331,0.006524971894057874
core_partial_factorial,0,2,256,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.04635390418733492,0.15514715630650014,0.8671875,0.030656699993414804,-0.016367058959750658
core_partial_factorial,0,2,256,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.04635390418733492,0.15514715630650014,0.8671875,0.030656699993414804,-0.01735069190079075
core_partial_factorial,0,2,256,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.04635390418733492,0.15514715630650014,0.8671875,0.030656699993414804,-0.01882614131235072
core_partial_factorial,0,2,256,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.051687515871221994,0.05793599195709358,0.87890625,0.01878099999157712,-0.08516853211550246
core_partial_factorial,0,2,256,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.051687515871221994,0.05793599195709358,0.87890625,0.01878099999157712,-0.08608336358338675
core_partial_factorial,0,2,256,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.051687515871221994,0.05793599195709358,0.87890625,0.01878099999157712,-0.08745561078521324
