fold,decision_time,selected_tickers,long_only,full_investment,configured_lower_bound,effective_lower_bounds_equity_sleeve,configured_upper_bound,effective_upper_bounds,portfolio_notional_vnd,max_adv_participation,capacity_constraint_applied,sector_cap,sector_metadata_available,sector_constraint_applied,sector_constraint_reason,max_one_way_turnover,prior_exit_weight,remaining_turnover_limit,cash_allowed_by_exposure_overlay,target_equity_exposure,target_cash_weight,solver_solution_selection,board_lot,cash_residual_weight,executed_cardinality,solver_cardinality_preserved_after_rounding,executed_one_way_turnover,turnover_cap_satisfied_after_rounding
14,2023-06-29,HPG|VDS|FRT|VRE,True,False,0.05,0.05|0.05|0.08634929208|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.5040477318483133,,True,0.6,0.4,best_observed_feasible,100,0.455033671875,4,True,1.021821205270446,True
15,2023-07-28,TCH|HDB|HHS|VDS,True,False,0.05,0.05|0.05|0.05|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.32804800616476054,,True,0.6,0.4,best_observed_feasible,100,0.43022364453124995,4,True,0.8732843805783993,True
16,2023-08-30,HPG|VCG|PTB|HDB,True,False,0.05,0.07438023844|0.08359061484|0.1535823411|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.5628673851821009,,True,0.25,0.75,best_observed_feasible,100,0.77143625390625,4,True,0.7277754853751318,True
17,2023-09-29,HDB|PNJ|CMG|PTB,True,False,0.05,0.05|0.2093335375|0.1234171937|0.1647519616,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.054372434845230966,,True,0.25,0.75,best_observed_feasible,100,0.791683412109375,4,True,0.31329408112519597,True
18,2023-10-30,PTB|PNJ|SHI|CDC,True,False,0.05,0.1549785456|0.1962668681|0.0554000554|0.05066671864,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.10998816000500561,,True,0.25,0.75,best_observed_feasible,100,0.7657553994140625,4,True,0.25794739270432143,True
19,2023-11-29,BAF|PTB|MIG|DBD,True,False,0.05,0.05593536453|0.1633557571|0.06538200288|0.2204002204,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.19918948932863523,,True,0.25,0.75,best_observed_feasible,100,0.8083498525390624,4,True,0.3500037052089735,True
20,2023-12-29,CDC|VTO|TLG|SBA,True,False,0.05,0.05066671864|0.05|0.1669423232|0.1028001028,0.4,0.4|0.4|0.4|0.290432625,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.19333631005300025,,True,0.25,0.75,best_observed_feasible,100,0.8182777939453125,4,True,0.37505851610768776,True
21,2024-01-30,CCL|TLH|TV2|VIP,True,False,0.05,0.05|0.05|0.065000065|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.19177960530730198,,True,0.6,0.4,best_observed_feasible,100,0.451268173828125,4,True,0.740511431479177,True
22,2024-02-28,NHH|CDC|TLH|CTI,True,False,0.05,0.05|0.05|0.05|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.5375706849151894,,True,0.6,0.4,best_observed_feasible,100,0.441037134765625,4,True,1.0857777456505813,True
23,2024-03-29,STB|HDG|CTI|CDC,True,False,0.05,0.128000128|0.08850497132|0.064000064|0.05079370314,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.13152480599702016,,True,0.25,0.75,best_observed_feasible,100,0.78070146484375,4,True,0.5777628181526386,True
