config_id,family,candidate_size,portfolio_cardinality,weight_upper,weight_lower,weight_mode,signal_blend,correlation_penalty,stability_weight,covariance_span,covariance_shrinkage,risk_aversion_qubo,risk_aversion_weights,turnover_penalty,volatility_target,transaction_cost_bps,qa_warm_start,market_regime_lookback,minimum_validation_ic,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,mean_max_weight,mean_effective_names
C1_NMVT_X,constraint_and_allocation,8,4,0.3,0.05,normalized_mean_variance,1.0,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,0.03832365531287252,0.0700373742221938,0.15669158276920805,0.4469759829112982,0.6696732305323203,-0.09598829621943006,0.29999999999999993,3.6286545810450552
C1_NMVT_M,constraint_and_allocation,8,4,0.3,0.05,normalized_mean_variance,0.7,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,-0.008514877637131768,-0.015274547776151448,0.15937493919810317,-0.09584033633522002,-0.13849624470861055,-0.10027828419723017,0.2999999999999999,3.6035149131144797
C1_NMVT_M,constraint_and_allocation,8,4,0.3,0.05,normalized_mean_variance,0.7,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,-0.008514877637131768,-0.015274547776151448,0.15937493919810317,-0.09584033633522002,-0.13849624470861055,-0.10027828419723017,0.2999999999999999,3.6035149131144797
C2_EW_X,constraint_and_allocation,10,6,0.25,0.02,equal,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.04261092152193369,0.078003288921763,0.14131182041489967,0.5519940843783686,0.7232454489328562,-0.07432306800311295,0.1666666666666667,5.999999999999999
C2_EW_X,constraint_and_allocation,10,6,0.25,0.02,equal,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.05913211219566028,0.10894560582440627,0.148107693812061,0.7355837027794866,0.996689236473077,-0.07432306800311339,0.1666666666666667,5.999999999999999
C2_EW_M,constraint_and_allocation,10,6,0.25,0.02,equal,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.035744796833763415,0.06525840240855008,0.14143016451814552,0.46141784979807055,0.6312211614927965,-0.08970537552645463,0.1666666666666667,5.999999999999999
C2_EW_M,constraint_and_allocation,10,6,0.25,0.02,equal,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.035744796833763415,0.06525840240855008,0.14143016451814552,0.46141784979807055,0.6312211614927965,-0.08970537552645463,0.1666666666666667,5.999999999999999
C2_IV_X,constraint_and_allocation,10,6,0.25,0.02,inverse_volatility,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.06399099607524872,0.11811974047110518,0.13680540041301287,0.863414310506047,1.1927592649593526,-0.06625212646838918,0.2356564736066534,5.538942730933688
C2_IV_X,constraint_and_allocation,10,6,0.25,0.02,inverse_volatility,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.07750236839271851,0.1438071846520459,0.1410406250997715,1.0196153381362096,1.4324132884759229,-0.06625212646838885,0.2327593378505312,5.591299707287116
C2_IV_M,constraint_and_allocation,10,6,0.25,0.02,inverse_volatility,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.030040060016071735,0.05472055015223898,0.13468237377995435,0.406293330125307,0.5456164935183072,-0.09047040276827756,0.22449691759308085,5.721151776905054
C2_IV_M,constraint_and_allocation,10,6,0.25,0.02,inverse_volatility,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.030040060016071735,0.05472055015223898,0.13468237377995435,0.406293330125307,0.5456164935183072,-0.09047040276827756,0.22449691759308085,5.721151776905054
C2_NMV_X,constraint_and_allocation,10,6,0.25,0.02,normalized_mean_variance,1.0,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.061112872494304415,0.11268145433151444,0.14993568613118902,0.7515319217128983,1.0400458553510223,-0.08195668340082418,0.24999999999999986,4.31565971146218
C2_NMV_X,constraint_and_allocation,10,6,0.25,0.02,normalized_mean_variance,1.0,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.047373195389308176,0.08688255773280162,0.1549434074425681,0.5607373631885941,0.7945655920200965,-0.08195668340082396,0.24999999999999986,4.304607141643355
C2_NMV_M,constraint_and_allocation,10,6,0.25,0.02,normalized_mean_variance,0.7,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.0059865780063683705,0.01080163429501746,0.15619944544899983,0.06915283382708465,0.09123437114539823,-0.08922122027500379,0.24999999999999997,4.382432907438142
C2_NMV_M,constraint_and_allocation,10,6,0.25,0.02,normalized_mean_variance,0.7,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.0059865780063683705,0.01080163429501746,0.15619944544899983,0.06915283382708465,0.09123437114539823,-0.08922122027500379,0.24999999999999997,4.382432907438142
C2_NMVT_X,constraint_and_allocation,10,6,0.25,0.02,normalized_mean_variance,1.0,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,0.04852652423443926,0.0890378097424851,0.14768189734671772,0.6029026667598132,0.8408306022249682,-0.07300778034971611,0.24999999999999992,4.57276730484982
C2_NMVT_X,constraint_and_allocation,10,6,0.25,0.02,normalized_mean_variance,1.0,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,0.051623767489034744,0.09483508737305701,0.15037000237917728,0.6306782328427326,0.8908562719236445,-0.07270279178385786,0.24999999999999994,4.538570366427935
C2_NMVT_M,constraint_and_allocation,10,6,0.25,0.02,normalized_mean_variance,0.7,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,0.016224133680734498,0.029392756839089484,0.14913489475103173,0.19708839361946942,0.26612062800451913,-0.08396877894072186,0.24999999999999994,4.533147891830605
C2_NMVT_M,constraint_and_allocation,10,6,0.25,0.02,normalized_mean_variance,0.7,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,0.016224133680734498,0.029392756839089484,0.14913489475103173,0.19708839361946942,0.26612062800451913,-0.08396877894072186,0.24999999999999994,4.533147891830605
C3_EW_X,constraint_and_allocation,10,8,0.15,0.02,equal,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.02982680348654987,0.054327523350936824,0.1459881556443234,0.37213651416555377,0.4718923037499814,-0.09843071617240529,0.12500000000000003,7.999999999999998
C3_EW_X,constraint_and_allocation,10,8,0.15,0.02,equal,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.023314753557965417,0.0423573282619043,0.1460866358878458,0.2899466334102117,0.3613452120421791,-0.09843071617240551,0.12500000000000003,7.999999999999998
C3_EW_M,constraint_and_allocation,10,8,0.15,0.02,equal,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.05415390332875636,0.09958102846517924,0.14803252249175272,0.6726969640791413,0.8328968753522997,-0.08774340117868662,0.12500000000000003,7.999999999999998
C3_EW_M,constraint_and_allocation,10,8,0.15,0.02,equal,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.05415390332875636,0.09958102846517924,0.14803252249175272,0.6726969640791413,0.8328968753522997,-0.08774340117868662,0.12500000000000003,7.999999999999998
C3_IV_X,constraint_and_allocation,10,8,0.15,0.02,inverse_volatility,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.045198487164223256,0.08282379402586937,0.13983165641810064,0.5923107552857978,0.7552662940731392,-0.0891846915502601,0.15,7.703990631228476
C3_IV_X,constraint_and_allocation,10,8,0.15,0.02,inverse_volatility,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.04300222834561529,0.07873166040558677,0.1395736634659126,0.5640867943887925,0.710922150963176,-0.08918469155025965,0.15,7.69083075059394
C3_IV_M,constraint_and_allocation,10,8,0.15,0.02,inverse_volatility,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.057615877497069645,0.1060896580688322,0.14232625963870726,0.7453976401694175,0.9169247900727929,-0.08528124480436228,0.14919496990313472,7.80306525533522
C3_IV_M,constraint_and_allocation,10,8,0.15,0.02,inverse_volatility,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.057615877497069645,0.1060896580688322,0.14232625963870726,0.7453976401694175,0.9169247900727929,-0.08528124480436228,0.14919496990313472,7.80306525533522
C3_NMV_X,constraint_and_allocation,10,8,0.15,0.02,normalized_mean_variance,1.0,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.006052669249507314,0.010921171084578685,0.15195209807953372,0.07187245995683719,0.09221591618412701,-0.10225323012145482,0.14999999999999988,7.104344448127798
C3_NMV_X,constraint_and_allocation,10,8,0.15,0.02,normalized_mean_variance,1.0,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,QAUR,140,-0.014354844373480669,-0.025690212952783287,0.15437380878675644,-0.16641561903982266,-0.20859327501233899,-0.10225323012145471,0.14999999999999988,7.086643698868635
C3_NMV_M,constraint_and_allocation,10,8,0.15,0.02,normalized_mean_variance,0.7,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.05618478698388474,0.10339708913883028,0.14766296803888398,0.7002235598542405,0.9185036137424762,-0.09726891195112675,0.15,7.059443975528713
C3_NMV_M,constraint_and_allocation,10,8,0.15,0.02,normalized_mean_variance,0.7,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.05618478698388474,0.10339708913883028,0.14766296803888398,0.7002235598542405,0.9185036137424762,-0.09726891195112675,0.15,7.059443975528713
C3_NMVT_X,constraint_and_allocation,10,8,0.15,0.02,normalized_mean_variance,1.0,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,0.01794440260534702,0.032531489962061455,0.1482850070821138,0.2193848899642762,0.28292490208687815,-0.09515031919028971,0.15,7.126180581985267
C3_NMVT_X,constraint_and_allocation,10,8,0.15,0.02,normalized_mean_variance,1.0,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,0.001296490936887107,0.0023348938217326864,0.14988195827207923,0.015578218010030112,0.01982666999062914,-0.09515031920186134,0.15,7.143884088592874
C3_NMVT_M,constraint_and_allocation,10,8,0.15,0.02,normalized_mean_variance,0.7,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,0.06630124457855202,0.1224935366508153,0.1492219585079919,0.8208814431574084,1.088736092492843,-0.09705241949760057,0.15,7.098776263169337
