config_id,fold,method,fold_return
C2_NMVT_X,51,AUR,-0.02235306206580856
C2_NMVT_X,51,QAUR,-0.022353062064640494
C2_NMVT_M,45,AUR,-0.019614661713946213
C2_NMVT_M,45,QAUR,-0.019614661713946213
C2_NMVT_M,46,AUR,0.01667469989620418
C2_NMVT_M,46,QAUR,0.01667469989620418
C2_NMVT_M,47,AUR,-0.03221098061871308
C2_NMVT_M,47,QAUR,-0.03221098061871308
C2_NMVT_M,48,AUR,0.06511617621748012
C2_NMVT_M,48,QAUR,0.06511617621748012
C2_NMVT_M,49,AUR,0.026580084112048485
C2_NMVT_M,49,QAUR,0.026580084112048485
C2_NMVT_M,50,AUR,-0.00603907804860726
C2_NMVT_M,50,QAUR,-0.00603907804860726
C2_NMVT_M,51,AUR,-0.030671761118667318
C2_NMVT_M,51,QAUR,-0.030671761118667318
C3_EW_X,45,AUR,0.025253927595703773
C3_EW_X,45,QAUR,0.018770793981996547
C3_EW_X,46,AUR,0.0320236853000857
C3_EW_X,46,QAUR,0.0320236853000857
C3_EW_X,47,AUR,-0.030768381523399557
C3_EW_X,47,QAUR,-0.030768381523399557
C3_EW_X,48,AUR,0.051807279301658626
C3_EW_X,48,QAUR,0.051807279301658626
C3_EW_X,49,AUR,0.016873005200388036
C3_EW_X,49,QAUR,0.016873005200388036
C3_EW_X,50,AUR,-0.028265357175029537
C3_EW_X,50,QAUR,-0.028265357175029537
C3_EW_X,51,AUR,-0.03380466746277222
C3_EW_X,51,QAUR,-0.03380466746277222
C3_EW_M,45,AUR,0.03801316894852502
C3_EW_M,45,QAUR,0.03801316894852502
C3_EW_M,46,AUR,0.0015646291094746356
C3_EW_M,46,QAUR,0.0015646291094746356
C3_EW_M,47,AUR,-0.0385054955672367
C3_EW_M,47,QAUR,-0.0385054955672367
C3_EW_M,48,AUR,0.04943120091849207
C3_EW_M,48,QAUR,0.04943120091849207
C3_EW_M,49,AUR,0.05252500177549324
C3_EW_M,49,QAUR,0.05252500177549324
C3_EW_M,50,AUR,-0.007196932255969624
C3_EW_M,50,QAUR,-0.007196932255969624
C3_EW_M,51,AUR,-0.038330440243684705
C3_EW_M,51,QAUR,-0.038330440243684705
C3_IV_X,45,AUR,0.029972478140487313
C3_IV_X,45,QAUR,0.0278009485051689
C3_IV_X,46,AUR,0.036662117837356956
C3_IV_X,46,QAUR,0.036669445457593985
C3_IV_X,47,AUR,-0.027397287578662888
C3_IV_X,47,QAUR,-0.027397287578662888
C3_IV_X,48,AUR,0.04883032882494298
C3_IV_X,48,QAUR,0.04883032882494298
C3_IV_X,49,AUR,0.014846866967325845
C3_IV_X,49,QAUR,0.014846866967325845
C3_IV_X,50,AUR,-0.025856602406937435
C3_IV_X,50,QAUR,-0.025856602406937435
C3_IV_X,51,AUR,-0.02932956184268143
C3_IV_X,51,QAUR,-0.02932956184268143
C3_IV_M,45,AUR,0.04376257437082942
C3_IV_M,45,QAUR,0.04376257437082942
C3_IV_M,46,AUR,0.0025570203912645972
C3_IV_M,46,QAUR,0.0025570203912645972
C3_IV_M,47,AUR,-0.03369660189204915
C3_IV_M,47,QAUR,-0.03369660189204915
C3_IV_M,48,AUR,0.046435869981263034
C3_IV_M,48,QAUR,0.046435869981263034
C3_IV_M,49,AUR,0.04437345724635455
C3_IV_M,49,QAUR,0.04437345724635455
C3_IV_M,50,AUR,-0.00641506403311809
C3_IV_M,50,QAUR,-0.00641506403311809
C3_IV_M,51,AUR,-0.03676953481493472
C3_IV_M,51,QAUR,-0.03676953481493472
C3_NMV_X,45,AUR,0.016755152582586863
C3_NMV_X,45,QAUR,-0.0038694580981349924
C3_NMV_X,46,AUR,0.030205677198368086
C3_NMV_X,46,QAUR,0.030205677198368086
C3_NMV_X,47,AUR,-0.051164273971918695
C3_NMV_X,47,QAUR,-0.051164273971918695
C3_NMV_X,48,AUR,0.0596512265289999
C3_NMV_X,48,QAUR,0.0596512265289999
C3_NMV_X,49,AUR,0.019207069717040337
C3_NMV_X,49,QAUR,0.019207069717040337
C3_NMV_X,50,AUR,-0.028495605602565477
C3_NMV_X,50,QAUR,-0.028495605602565477
C3_NMV_X,51,AUR,-0.035240139005927484
C3_NMV_X,51,QAUR,-0.035240139005927484
C3_NMV_M,45,AUR,0.016630491546802517
C3_NMV_M,45,QAUR,0.016630491546802517
C3_NMV_M,46,AUR,0.014078028257629827
C3_NMV_M,46,QAUR,0.014078028257629827
C3_NMV_M,47,AUR,-0.02213415782866146
C3_NMV_M,47,QAUR,-0.02213415782866146
C3_NMV_M,48,AUR,0.058179500823763775
C3_NMV_M,48,QAUR,0.058179500823763775
C3_NMV_M,49,AUR,0.04700310062920399
