config_id,cumulative_return_AUR,cumulative_return_QAUR,maximum_drawdown_AUR,maximum_drawdown_QAUR,sharpe_zero_rf_AUR,sharpe_zero_rf_QAUR,worst_method_sharpe,worst_method_return
C2_NMV_M,0.0059865780063683705,0.0059865780063683705,-0.08922122027500379,-0.08922122027500379,0.06915283382708465,0.06915283382708465,0.06915283382708465,0.0059865780063683705
C3_NMVT_X,0.01794440260534702,0.001296490936887107,-0.09515031919028971,-0.09515031920186134,0.2193848899642762,0.015578218010030112,0.015578218010030112,0.001296490936887107
R_K10P6_CP30_S15,0.028270103192427953,-0.00045514540435676043,-0.08808881237914978,-0.08063441108458014,0.3386154660096568,-0.006092988552801287,-0.006092988552801287,-0.00045514540435676043
C1_NMVT_M,-0.008514877637131768,-0.008514877637131768,-0.10027828419723017,-0.10027828419723017,-0.09584033633522002,-0.09584033633522002,-0.09584033633522002,-0.008514877637131768
C1_NMV_M,-0.011985562656484872,-0.011985562656484872,-0.09989665782585921,-0.09989665782585921,-0.13448847844550138,-0.13448847844550138,-0.13448847844550138,-0.011985562656484872
C3_NMV_X,0.006052669249507314,-0.014354844373480669,-0.10225323012145482,-0.10225323012145471,0.07187245995683719,-0.16641561903982266,-0.16641561903982266,-0.014354844373480669
P_K10P6_CP30_M200,-0.008260580940047113,-0.013407555343382449,-0.06203382398805202,-0.06122044566355067,-0.12280256814791592,-0.21469915175834547,-0.21469915175834547,-0.013407555343382449
R_K10P6_CP20_S15,-0.0032672002058365957,-0.01727393196037219,-0.08791015380404432,-0.0830223146315151,-0.04331038853577895,-0.22983143793212926,-0.22983143793212926,-0.01727393196037219
W_K8P4_CP30,-0.004792955813446409,-0.028712557284758078,-0.06759810044263648,-0.07990191367883381,-0.06484055663700836,-0.3867107178779424,-0.3867107178779424,-0.028712557284758078
P_K10P6_CP30_IC0_M120_VT15,-0.04135000453072568,-0.02591087572183215,-0.05144598266946765,-0.05062342316622259,-0.7925476914786622,-0.5051349631452068,-0.7925476914786622,-0.04135000453072568
P_K10P6_CP30_M120_VT15,-0.04135000453072568,-0.02591087572183215,-0.05144598266946765,-0.05062342316622259,-0.7925476914786622,-0.5051349631452068,-0.7925476914786622,-0.04135000453072568
P_K10P6_CP30_IC0_M120,-0.04135580209281475,-0.02591087572183215,-0.051445982973601145,-0.05062342316622259,-0.7926496139647304,-0.5051349631452068,-0.7926496139647304,-0.04135580209281475
P_K10P6_CP30_M120,-0.04135580209281475,-0.02591087572183215,-0.051445982973601145,-0.05062342316622259,-0.7926496139647304,-0.5051349631452068,-0.7926496139647304,-0.04135580209281475
W_K8P4_CP50,-0.013804661178359434,-0.14580591967524947,-0.06821547793878835,-0.19108797580177594,-0.17720143036856947,-1.5498839984747381,-1.5498839984747381,-0.14580591967524947
P_K10P6_CP30_IC0,-0.1271699557416348,-0.13165637808982134,-0.1665821894524525,-0.1772684650648786,-1.5261624080840477,-1.6649059432056446,-1.6649059432056446,-0.13165637808982134
P_K10P6_CP30_NONE,-0.1271699557416348,-0.13165637808982134,-0.1665821894524525,-0.1772684650648786,-1.5261624080840477,-1.6649059432056446,-1.6649059432056446,-0.13165637808982134
W_K10P6_CP30,-0.1271699557416348,-0.13165637808982134,-0.1665821894524525,-0.1772684650648786,-1.5261624080840477,-1.6649059432056446,-1.6649059432056446,-0.13165637808982134
W_K10P6_CP50,-0.14008706594225317,-0.1432980043161235,-0.16829334891368297,-0.16800787954203833,-1.6465689858591126,-1.6664236239380559,-1.6664236239380559,-0.1432980043161235
W_K10P6_CP75,-0.14365152996222097,-0.1408991822442882,-0.16873043157319978,-0.16677748961342753,-1.66082382881712,-1.6973710140719869,-1.6973710140719869,-0.14365152996222097
W_K8P4_CP75,-0.13973449931082316,-0.16268766586412953,-0.18090898127061317,-0.20330803129888964,-1.5274364485562697,-1.7143086042272118,-1.7143086042272118,-0.16268766586412953
P_K10P6_CP30_M60,-0.14511866728254097,-0.14156301697012463,-0.1859461269856295,-0.1889266941012523,-2.4314722366342543,-2.3668602191585983,-2.4314722366342543,-0.14511866728254097
