config_id,market_gate_lookback,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
C2_EW_M,20,observed_2026,AUR,160,-0.03123410353780831,-0.04874998637855288,0.09851991943997428,-0.49482365247217874,-0.4014327695403639,-0.0845212325923258
C2_EW_M,20,observed_2026,QAUR,160,-0.03123410353780831,-0.04874998637855288,0.09851991943997428,-0.49482365247217874,-0.4014327695403639,-0.0845212325923258
C2_EW_M,30,development_2022_2024,AUR,604,0.09378965206605838,0.038111274193506794,0.08879118194375274,0.42922363864521423,0.39438859611248844,-0.1505088971576406
C2_EW_M,30,development_2022_2024,QAUR,604,0.09942796837674672,0.04034059245553312,0.08864159600289982,0.45509776757870446,0.417332739352209,-0.1505088971576406
C2_EW_M,30,historical_holdout_2024_2025,AUR,312,0.14083215125195525,0.11228881230580923,0.13363678434623474,0.8402537733539306,0.9765630770101194,-0.1362320480814484
C2_EW_M,30,historical_holdout_2024_2025,QAUR,312,0.13656806037550684,0.10892970016404147,0.13250835775376638,0.8220590912949057,0.9361528111776477,-0.1362320480814484
C2_EW_M,30,observed_2026,AUR,160,-0.016080828187698182,-0.025209941942430758,0.11829020844658132,-0.21311943121492863,-0.22265160450610597,-0.08959053926655824
C2_EW_M,30,observed_2026,QAUR,160,-0.016080828187698182,-0.025209941942430758,0.11829020844658132,-0.21311943121492863,-0.22265160450610597,-0.08959053926655824
C2_EW_M,40,development_2022_2024,AUR,604,0.04177117378755302,0.017220135295816563,0.08432281142254756,0.20421680687951982,0.171880272961284,-0.1533020862185609
C2_EW_M,40,development_2022_2024,QAUR,604,0.04714134289646266,0.01940459035423725,0.08416737049720129,0.23054766044856406,0.19367945954622423,-0.1533020862185609
C2_EW_M,40,historical_holdout_2024_2025,AUR,312,0.1310243768439323,0.10455894000995447,0.1310595630216759,0.7977971053715592,0.8845878127198676,-0.1362320480814484
C2_EW_M,40,historical_holdout_2024_2025,QAUR,312,0.12726504732377553,0.10159265939934614,0.1299153153577074,0.7819914004720847,0.849055393902308,-0.1362320480814484
C2_EW_M,40,observed_2026,AUR,160,-0.005768602517998378,-0.009070468486820582,0.10408220901105922,-0.0871471558204227,-0.07797637298308836,-0.06363868686327967
C2_EW_M,40,observed_2026,QAUR,160,-0.005768602517998378,-0.009070468486820582,0.10408220901105922,-0.0871471558204227,-0.07797637298308836,-0.06363868686327967
C2_IV_X,0,development_2022_2024,AUR,604,-0.14623138493284427,-0.06383186989273149,0.1375876665510521,-0.4639359870897046,-0.538240732074386,-0.4073370331661129
C2_IV_X,0,development_2022_2024,QAUR,604,-0.14533482549377608,-0.06342183244924704,0.13841393488467402,-0.4582040999129884,-0.530749747520144,-0.40671466597232786
C2_IV_X,0,historical_holdout_2024_2025,AUR,312,0.15045569246914692,0.11986107108332633,0.11916669962120172,1.0058268917770805,1.3984508570975775,-0.11420154801496851
C2_IV_X,0,historical_holdout_2024_2025,QAUR,312,0.14626908901559932,0.11656835577349445,0.12027101960469502,0.9692139981570753,1.3165545044955365,-0.11420154801496851
C2_IV_X,0,observed_2026,AUR,160,0.09207089591165585,0.1488016805474568,0.1297157550424136,1.1471365255423494,1.5511849908325548,-0.06625212646838874
C2_IV_X,0,observed_2026,QAUR,160,0.07179238086484041,0.11538371161304117,0.13115774207449163,0.8797323725465515,1.2148535754447853,-0.06625212646838852
C2_IV_X,20,development_2022_2024,AUR,604,0.022619530933575493,0.009375817078107085,0.07613888447941417,0.12314098298408936,0.10228624668025565,-0.1538662687091854
C2_IV_X,20,development_2022_2024,QAUR,604,0.022171377567359984,0.009191237118781892,0.07613401097795885,0.12072445679294103,0.10027255644990189,-0.1538662687091854
C2_IV_X,20,historical_holdout_2024_2025,AUR,312,0.20992055858580994,0.16638540358917586,0.07957332634338338,2.090969565243153,3.1260133969194905,-0.03976282145441701
C2_IV_X,20,historical_holdout_2024_2025,QAUR,312,0.19917614492820523,0.15801231136935057,0.07935125491401576,1.9913019843299409,2.8115586188293182,-0.03997703248296436
C2_IV_X,20,observed_2026,AUR,160,-0.0006701067139208705,-0.0010552147228309883,0.0965858594206026,-0.010925147109121253,-0.008612422336232337,-0.057065906734618865
C2_IV_X,20,observed_2026,QAUR,160,-0.019379410837182864,-0.03035204296102023,0.09779835845230654,-0.31035329673577344,-0.25432143292712306,-0.07909701136987202
C2_IV_X,30,development_2022_2024,AUR,604,0.1193623034751683,0.04816939449137081,0.0823341200852943,0.5850477838527888,0.5379555183873501,-0.1538662687091854
