config_id,fold,method,reduction_objective,candidate_mean_abs_correlation,candidate_turnover,portfolio_turnover,candidate_jaccard
C1_NMVT_M,16,QAUR,5.934345097973547,0.08491434470869572,0.125,0.3609160820028473,1.0
C1_NMVT_M,17,AUR,5.829794778194577,0.0750352995809641,0.0,0.4307633407393858,1.0
C1_NMVT_M,17,QAUR,5.829794778194577,0.0750352995809641,0.0,0.4307633407393858,1.0
C1_NMVT_M,18,AUR,5.605588001137033,0.07117975114671217,0.125,0.36515901736718803,1.0
C1_NMVT_M,18,QAUR,5.605588001137033,0.07117975114671217,0.125,0.36515901736718803,1.0
C1_NMVT_M,19,AUR,5.932724228343847,0.0720181327343404,0.25,0.3000000000000005,1.0
C1_NMVT_M,19,QAUR,5.932724228343847,0.0720181327343404,0.25,0.3000000000000005,1.0
C1_NMVT_M,20,AUR,6.184273091442044,0.07797538400879352,0.125,0.10000000000000461,1.0
C1_NMVT_M,20,QAUR,6.184273091442044,0.07797538400879352,0.125,0.10000000000000461,1.0
C1_NMVT_M,21,AUR,6.033863492574055,0.10087582032129659,0.125,0.3000000000000012,1.0
C1_NMVT_M,21,QAUR,6.033863492574055,0.10087582032129659,0.125,0.3000000000000012,1.0
C1_NMVT_M,22,AUR,5.822877545298753,0.15987456088954327,0.25,0.5999999999999996,0.7777777777777778
C1_NMVT_M,22,QAUR,5.834103490696632,0.13857206159330862,0.125,0.5999999999999996,0.7777777777777778
C1_NMVT_M,23,AUR,5.832888923461393,0.14326915347503438,0.25,0.3000000000000002,0.7777777777777778
C1_NMVT_M,23,QAUR,5.935796865187409,0.15533850559416212,0.125,0.3000000000000025,0.7777777777777778
C1_NMVT_M,24,AUR,5.997607885171992,0.09784680792729596,0.25,0.5166445446602044,0.7777777777777778
C1_NMVT_M,24,QAUR,5.997997053161051,0.09996345845751929,0.125,0.6000000000000005,0.7777777777777778
C1_NMVT_M,25,AUR,6.239996054169852,0.13090203034306533,0.0,0.0919567315478864,0.7777777777777778
C1_NMVT_M,25,QAUR,6.254636244704591,0.13421376353718042,0.0,0.3000000000000008,0.7777777777777778
C1_NMVT_M,26,AUR,5.912106195044263,0.16988270811911269,0.125,0.20000000000000193,0.7777777777777778
C1_NMVT_M,26,QAUR,5.942726059606222,0.18077243902952425,0.125,0.13681043967332845,0.7777777777777778
C1_NMVT_M,27,AUR,5.935867108719739,0.16615421156398638,0.25,0.4617602400027033,1.0
C1_NMVT_M,27,QAUR,6.085867108719739,0.16615421156398638,0.125,0.16176024311292814,1.0
C1_NMVT_M,28,AUR,6.207920557526199,0.12893814674816212,0.125,0.3175478426626489,1.0
C1_NMVT_M,28,QAUR,6.207920557526199,0.12893814674816212,0.125,0.3175478452264302,1.0
C1_NMVT_M,29,AUR,6.468521565274232,0.15744765525920332,0.125,1.646233150827403e-05,1.0
C1_NMVT_M,29,QAUR,6.468521565274232,0.15744765525920332,0.125,1.6462328805672e-05,1.0
C1_NMVT_M,30,AUR,6.331470720917377,0.20830932899567392,0.125,0.3000000000000008,1.0
C1_NMVT_M,30,QAUR,6.331470720917377,0.20830932899567392,0.125,0.30000000000000093,1.0
C1_NMVT_M,31,AUR,6.076919170066242,0.1707431535477705,0.125,0.49999999999999967,1.0
C1_NMVT_M,31,QAUR,6.076919170066242,0.1707431535477705,0.125,0.49999999999999967,1.0
C1_NMVT_M,32,AUR,5.9678101521030715,0.1455189306398809,0.375,0.7186879207022397,1.0
C1_NMVT_M,32,QAUR,5.9678101521030715,0.1455189306398809,0.375,0.7186879207022397,1.0
C1_NMVT_M,33,AUR,6.155798978894539,0.11774460431185818,0.0,0.11868792070223932,1.0
C1_NMVT_M,33,QAUR,6.155798978894539,0.11774460431185818,0.0,0.11868792070223932,1.0
C1_NMVT_M,34,AUR,6.257506369720485,0.12269909288098205,0.25,0.522096206588651,1.0
C1_NMVT_M,34,QAUR,6.257506369720485,0.12269909288098205,0.25,0.522096206588651,1.0
C1_NMVT_M,35,AUR,6.31845103082903,0.14240588184677547,0.25,0.40000000000000246,1.0
C1_NMVT_M,35,QAUR,6.31845103082903,0.14240588184677547,0.25,0.40000000000000246,1.0
C1_NMVT_M,36,AUR,6.071187610543877,0.12560168924344825,0.125,0.30000000000000226,1.0
C1_NMVT_M,36,QAUR,6.071187610543877,0.12560168924344825,0.125,0.30000000000000226,1.0
C1_NMVT_M,37,AUR,5.825949214897183,0.25628541864271126,0.25,0.5991334305087089,1.0
C1_NMVT_M,37,QAUR,5.825949214897183,0.25628541864271126,0.25,0.5991334305087089,1.0
C1_NMVT_M,38,AUR,5.478626480484775,0.2578233694317294,0.25,0.10086656949129137,1.0
C1_NMVT_M,38,QAUR,5.478626480484775,0.2578233694317294,0.25,0.10086656949129137,1.0
C1_NMVT_M,39,AUR,5.755393439652362,0.2738889889440322,0.125,0.3000605437448358,1.0
C1_NMVT_M,39,QAUR,5.755393439652362,0.2738889889440322,0.125,0.3000605437448358,1.0
C1_NMVT_M,40,AUR,5.442940103698056,0.2335364291303937,0.25,0.7504608743726852,1.0
C1_NMVT_M,40,QAUR,5.442940103698056,0.2335364291303937,0.25,0.7504608743726852,1.0
C1_NMVT_M,41,AUR,4.918269107222051,0.2306933639620494,0.5,0.8505214181175211,1.0
C1_NMVT_M,41,QAUR,4.918269107222051,0.2306933639620494,0.5,0.8505214181175211,1.0
C1_NMVT_M,42,AUR,5.517641325713686,0.1945463601096191,0.375,0.4000000000000026,1.0
C1_NMVT_M,42,QAUR,5.517641325713686,0.1945463601096191,0.375,0.4000000000000026,1.0
C1_NMVT_M,43,AUR,5.641635349780562,0.20972522485745734,0.125,2.1441182163073336e-15,1.0
C1_NMVT_M,43,QAUR,5.641635349780562,0.20972522485745734,0.125,2.1441182163073336e-15,1.0
