config_id,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,selection_score
P_K10P6_CP30_IC0_M120,all,QAUR,916,-0.17478529012938093,-0.051479315944677584,0.12279024187918211,-0.4192459853229217,-0.2807050361559878,-0.3546856849782951,-0.8567920755437858
P_K10P6_CP30_M120_VT15,development,AUR,604,-0.037307232982044414,-0.01573789215499566,0.08864534126852214,-0.17753772425922362,-0.14870965404636372,-0.22506273393249687,-0.05075003077810572
P_K10P6_CP30_M120_VT15,development,QAUR,604,0.016794455568140965,0.006972968569461724,0.0917041413634285,0.07603766270301218,0.06487885972676273,-0.22046148191838322,-0.05075003077810572
P_K10P6_CP30_M120_VT15,holdout,AUR,312,0.1245503366687355,0.09944944737868577,0.128034443014089,0.776739797803801,0.7809502675868873,-0.12444393379866736,-0.05075003077810572
P_K10P6_CP30_M120_VT15,holdout,QAUR,312,0.11056535096107178,0.08839273712259721,0.12400122996893272,0.7128375835041567,0.725021498901493,-0.12822776070765618,-0.05075003077810572
P_K10P6_CP30_M120_VT15,all,AUR,916,0.08259647525859859,0.022073386941147133,0.10374052213143393,0.21277497440374632,0.19313489530667072,-0.22506273393249687,-0.05075003077810572
P_K10P6_CP30_M120_VT15,all,QAUR,916,0.1292166914033035,0.03399756539496446,0.10379905532195204,0.32753251259864263,0.3009504668222988,-0.22046148191838322,-0.05075003077810572
P_K10P6_CP30_IC0_M120_VT15,development,AUR,604,-0.15184688846055827,-0.06640582179073828,0.07855591784028113,-0.8453318809889503,-0.5340682853123574,-0.23787131349368507,-0.7713661074043323
P_K10P6_CP30_IC0_M120_VT15,development,QAUR,604,-0.13088366583075872,-0.05684694622082642,0.0815126455553461,-0.6974003338197143,-0.4485877780778389,-0.23173264771893476,-0.7713661074043323
P_K10P6_CP30_IC0_M120_VT15,holdout,AUR,312,0.04673925699943804,0.037584352771242946,0.1095611491007568,0.34304452882909137,0.3005902588021485,-0.12444393379866736,-0.7713661074043323
P_K10P6_CP30_IC0_M120_VT15,holdout,QAUR,312,0.050185996398032895,0.040343036725669634,0.1144613217124777,0.35245999366501934,0.31959947770547015,-0.12822776070765618,-0.7713661074043323
P_K10P6_CP30_IC0_M120_VT15,all,AUR,916,-0.11220484220544402,-0.03221169521843048,0.0903174262513059,-0.3566498355345321,-0.25875244498459615,-0.23787131349368507,-0.7713661074043323
P_K10P6_CP30_IC0_M120_VT15,all,QAUR,916,-0.08726619661466939,-0.024807600275197794,0.09402605904436569,-0.2638374991712932,-0.19658759311988122,-0.23173264771893476,-0.7713661074043323
