config_id,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,selection_score
W_K10P6_CP30,holdout,AUR,312,0.2481256934822922,0.19604386425195552,0.14273284984642917,1.3735020667133415,1.7611435549389614,-0.1244439337348795,0.015684255486653628
W_K10P6_CP30,holdout,QAUR,312,0.2350955700124413,0.1859485273929946,0.1389552828738038,1.3381896934560529,1.7343823139433112,-0.12822776073773046,0.015684255486653628
W_K10P6_CP30,all,AUR,916,0.1735050611460025,0.04499918470351738,0.15609175393378566,0.28828675166662615,0.3258304942302852,-0.3711547632275196,0.015684255486653628
W_K10P6_CP30,all,QAUR,916,0.3307584667874144,0.08178470898439927,0.15902699191956046,0.5142819341371172,0.5848000163374119,-0.3546856849782951,0.015684255486653628
W_K10P6_CP50,development,AUR,604,-0.01494129975453573,-0.006261143737502639,0.1658180959384317,-0.03775911007823539,-0.04239934166250146,-0.322250555568402,-0.10270366750588783
W_K10P6_CP50,development,QAUR,604,-0.06482649248479655,-0.02757596607723134,0.16448707457632256,-0.16764822493354029,-0.19850386833203798,-0.3831755774393374,-0.10270366750588783
W_K10P6_CP50,holdout,AUR,312,0.28386339397310234,0.22362914628192065,0.15176551311325845,1.473517544891983,1.945692092414245,-0.13928907428857562,-0.10270366750588783
W_K10P6_CP50,holdout,QAUR,312,0.28813464066505756,0.22691609427960802,0.14409169928551704,1.5748033745509158,2.2377654012618624,-0.13928907435257099,-0.10270366750588783
W_K10P6_CP50,all,AUR,916,0.2646808061598709,0.06673338777828697,0.16120325639199898,0.413970469777676,0.4835987118563198,-0.322250555568402,-0.10270366750588783
W_K10P6_CP50,all,QAUR,916,0.2046293900625764,0.05255191767846412,0.15790567426476732,0.3328057583943946,0.41014384662175507,-0.3831755774393374,-0.10270366750588783
W_K10P6_CP75,development,AUR,604,-0.23775325940093495,-0.1070891751544566,0.17820507254360912,-0.6009322497161267,-0.6723428847900035,-0.4537816586239216,-0.4025212971916158
W_K10P6_CP75,development,QAUR,604,-0.08136828121879125,-0.03478975282650976,0.1704458090218325,-0.20411034466710481,-0.2407798767252439,-0.3631834548379801,-0.4025212971916158
W_K10P6_CP75,holdout,AUR,312,0.2301790144013447,0.18213401841726906,0.16399864549225546,1.1105824555475978,1.3898142751345626,-0.18526028485643464,-0.4025212971916158
W_K10P6_CP75,holdout,QAUR,312,0.3083187777335934,0.24242063677698322,0.16724510288111127,1.4494931845586632,2.116201831203551,-0.15522468730604766,-0.4025212971916158
W_K10P6_CP75,all,AUR,916,-0.06230005591920529,-0.017540808737398272,0.17360568442060992,-0.10103821655344301,-0.1161702657243922,-0.4537816586239216,-0.4025212971916158
W_K10P6_CP75,all,QAUR,916,0.2018631275031415,0.05188641419853379,0.169438060522064,0.3062264407339413,0.3839117891106995,-0.3631834548379801,-0.4025212971916158
