config_id,fold,date,method,return
W_K10P6_CP30,27,2024-07-23,QAUR,-0.010166879187738035
W_K10P6_CP30,27,2024-07-24,QAUR,-0.0003938272499586243
W_K10P6_CP30,27,2024-07-25,QAUR,-0.0036218111344979527
W_K10P6_CP30,27,2024-07-26,QAUR,0.002566193606786384
W_K10P6_CP30,27,2024-07-29,QAUR,0.0009355497941323224
W_K10P6_CP30,27,2024-07-30,QAUR,0.00015440388973164416
W_K10P6_CP30,27,2024-07-31,QAUR,0.006062250924653613
W_K10P6_CP30,27,2024-08-01,QAUR,-0.0024557857124429205
W_K10P6_CP30,28,2024-08-02,AUR,-0.006701214737642765
W_K10P6_CP30,28,2024-08-05,AUR,-0.00790507217548323
W_K10P6_CP30,28,2024-08-06,AUR,0.007759603149477432
W_K10P6_CP30,28,2024-08-07,AUR,0.0017072044677852998
W_K10P6_CP30,28,2024-08-08,AUR,-0.0030361802849321363
W_K10P6_CP30,28,2024-08-09,AUR,0.004058614412163515
W_K10P6_CP30,28,2024-08-12,AUR,0.004314982589601387
W_K10P6_CP30,28,2024-08-13,AUR,0.0047676265646591585
W_K10P6_CP30,28,2024-08-14,AUR,-0.005231816302489737
W_K10P6_CP30,28,2024-08-15,AUR,-0.003074406608130561
W_K10P6_CP30,28,2024-08-16,AUR,0.004663048568482233
W_K10P6_CP30,28,2024-08-19,AUR,0.004358725923749678
W_K10P6_CP30,28,2024-08-20,AUR,0.0029262368617732066
W_K10P6_CP30,28,2024-08-21,AUR,0.007839926826937417
W_K10P6_CP30,28,2024-08-22,AUR,-0.0009777117417304408
W_K10P6_CP30,28,2024-08-23,AUR,-0.000540477200671305
W_K10P6_CP30,28,2024-08-26,AUR,0.005326159172638473
W_K10P6_CP30,28,2024-08-27,AUR,0.0006564133390867728
W_K10P6_CP30,28,2024-08-28,AUR,0.003246292720833325
W_K10P6_CP30,28,2024-08-29,AUR,0.0020298046869772
W_K10P6_CP30,28,2024-08-30,AUR,0.006823761686601552
W_K10P6_CP30,28,2024-08-02,QAUR,-0.006431261931897416
W_K10P6_CP30,28,2024-08-05,QAUR,-0.007905072118751815
W_K10P6_CP30,28,2024-08-06,QAUR,0.00775960327262701
W_K10P6_CP30,28,2024-08-07,QAUR,0.0017072044963251857
W_K10P6_CP30,28,2024-08-08,QAUR,-0.003036180335685798
W_K10P6_CP30,28,2024-08-09,QAUR,0.00405861441216351
W_K10P6_CP30,28,2024-08-12,QAUR,0.00431498281611878
W_K10P6_CP30,28,2024-08-13,QAUR,0.004767626510683678
W_K10P6_CP30,28,2024-08-14,QAUR,-0.0052318164775223795
W_K10P6_CP30,28,2024-08-15,QAUR,-0.003074406685344757
W_K10P6_CP30,28,2024-08-16,QAUR,0.004663048668023177
W_K10P6_CP30,28,2024-08-19,QAUR,0.004358726203545198
W_K10P6_CP30,28,2024-08-20,QAUR,0.0029262368351389307
W_K10P6_CP30,28,2024-08-21,QAUR,0.007839926839664668
W_K10P6_CP30,28,2024-08-22,QAUR,-0.0009777118852285097
W_K10P6_CP30,28,2024-08-23,QAUR,-0.0005404771091040439
W_K10P6_CP30,28,2024-08-26,QAUR,0.005326159117197672
W_K10P6_CP30,28,2024-08-27,QAUR,0.0006564132836541624
W_K10P6_CP30,28,2024-08-28,QAUR,0.0032462926637665673
W_K10P6_CP30,28,2024-08-29,QAUR,0.002029804458433965
W_K10P6_CP30,28,2024-08-30,QAUR,0.006823761814605048
W_K10P6_CP30,29,2024-09-04,AUR,-0.005105490914374242
W_K10P6_CP30,29,2024-09-05,AUR,-0.0024002642458491753
W_K10P6_CP30,29,2024-09-06,AUR,0.007129492365793979
W_K10P6_CP30,29,2024-09-09,AUR,-0.003622394610942875
W_K10P6_CP30,29,2024-09-10,AUR,-0.00447318359997207
W_K10P6_CP30,29,2024-09-11,AUR,0.0014267914860554803
W_K10P6_CP30,29,2024-09-12,AUR,0.004545453195082127
W_K10P6_CP30,29,2024-09-13,AUR,0.00021549018756939192
W_K10P6_CP30,29,2024-09-16,AUR,-0.005094327337646244
W_K10P6_CP30,29,2024-09-17,AUR,0.012642640949613518
W_K10P6_CP30,29,2024-09-18,AUR,0.004845392467784066
W_K10P6_CP30,29,2024-09-19,AUR,0.015402130440498199
W_K10P6_CP30,29,2024-09-20,AUR,0.00031073776486740656
W_K10P6_CP30,29,2024-09-23,AUR,-0.0006189138329258785
W_K10P6_CP30,29,2024-09-24,AUR,0.01183042570984148
W_K10P6_CP30,29,2024-09-25,AUR,0.012543289728965443
W_K10P6_CP30,29,2024-09-26,AUR,-0.011904781553544712
W_K10P6_CP30,29,2024-09-27,AUR,-0.001531531531531538
