spec_id,worst_segment_return,worst_segment_sharpe,worst_segment_drawdown,minimum_segment_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps
OV0065,0.052305760070348484,0.2674959918862936,-0.1678699087179062,0.49981146368978563,0,6,0.1,120,-1.0,25.0
OV0041,0.039454920662418624,0.2627260038287766,-0.1522509558934404,0.547747731630368,0,3,0.12,60,-1.0,25.0
OV0033,0.037274342239649094,0.25912717516636224,-0.1522509558934404,0.4564564430253067,0,3,0.1,60,-1.0,25.0
OV0049,0.03465098772044972,0.22221531441141965,-0.1522509558934404,0.5815616846640701,0,3,0.15,60,-1.0,25.0
OV0029,0.03258639448147993,0.20693141006066695,-0.1522509558934404,0.5862068965517241,0,3,0.0,60,-1.0,25.0
OV0121,0.0312618171228678,0.18513065111729324,-0.1522509558934404,0.31933874992167355,20,3,0.1,120,-1.0,25.0
OV0053,0.024885917562645687,0.16551006028380247,-0.1522509558934404,0.5613609147555813,0,3,0.15,120,-1.0,25.0
OV0045,0.022020764767574752,0.15499587741559184,-0.1522509558934404,0.5407022061770753,0,3,0.12,120,-1.0,25.0
OV0037,0.02095842421035221,0.1527053855978094,-0.1522509558934404,0.478085719765784,0,3,0.1,120,-1.0,25.0
OV0253,0.03643386040177443,0.12719509164542084,-0.30203319479990964,0.375,120,0,0.0,60,-1.0,25.0
OV0273,0.03643386040177443,0.12719509164542084,-0.30203319479990964,0.36084125755495217,120,0,0.15,60,-1.0,25.0
OV0265,0.030181116414217835,0.10582011685874136,-0.30203319479990964,0.30775235568991866,120,0,0.12,60,-1.0,25.0
OV0277,0.010799885018548672,0.03834918656698443,-0.30203319479990964,0.36744454820456546,120,0,0.15,120,-1.0,25.0
OV0257,0.007935975848046617,0.028329750281668075,-0.30203319479990964,0.25646029640826556,120,0,0.1,60,-1.0,25.0
OV0181,0.004077379051432128,0.027948268808108138,-0.30203319479990964,0.2898187451079761,60,0,0.12,60,-1.0,25.0
OV0209,0.004077379051432128,0.027948268808108138,-0.1522509558934404,0.2898187451079761,60,3,0.12,60,-1.0,25.0
OV0237,0.004077379051432128,0.027948268808108138,-0.16554127080181524,0.2898187451079761,60,6,0.12,60,-1.0,25.0
OV0173,0.001971015972065171,0.014138267171801187,-0.30203319479990964,0.2415156209233134,60,0,0.1,60,-1.0,25.0
OV0201,0.001971015972065171,0.014138267171801187,-0.1522509558934404,0.2415156209233134,60,3,0.1,60,-1.0,25.0
OV0229,0.001971015972065171,0.014138267171801187,-0.16713603062304216,0.2415156209233134,60,6,0.1,60,-1.0,25.0
OV0189,-0.0005630534498995976,-0.003709824373310833,-0.30203319479990964,0.36084125755495217,60,0,0.15,60,-1.0,25.0
OV0217,-0.0005630534498995976,-0.003709824373310833,-0.1522509558934404,0.36084125755495217,60,3,0.15,60,-1.0,25.0
OV0245,-0.0005630534498995976,-0.003709824373310833,-0.16554127080181524,0.36084125755495217,60,6,0.15,60,-1.0,25.0
OV0169,-0.0025573788669852604,-0.016677281082297546,-0.30203319479990964,0.375,60,0,0.0,60,-1.0,25.0
OV0197,-0.0025573788669852604,-0.016677281082297546,-0.1522509558934404,0.375,60,3,0.0,60,-1.0,25.0
OV0225,-0.0025573788669852604,-0.016677281082297546,-0.16554127080181524,0.375,60,6,0.0,60,-1.0,25.0
OV0269,-0.009372649123129406,-0.03369781793798407,-0.30203319479990964,0.2946191988355026,120,0,0.12,120,-1.0,25.0
OV0058,-0.01054911820802873,-0.05976129628325994,-0.17379147064396705,0.3448275862068966,0,6,0.0,60,0.0,25.0
OV0070,-0.01054911820802873,-0.05976129628325994,-0.17379147064396705,0.3448275862068966,0,6,0.12,60,0.0,25.0
OV0074,-0.01054911820802873,-0.05976129628325994,-0.17379147064396705,0.3448275862068966,0,6,0.12,120,0.0,25.0
OV0078,-0.01054911820802873,-0.05976129628325994,-0.17379147064396705,0.3448275862068966,0,6,0.15,60,0.0,25.0
OV0082,-0.01054911820802873,-0.05976129628325994,-0.17379147064396705,0.3448275862068966,0,6,0.15,120,0.0,25.0
OV0066,-0.011638021860474357,-0.06608738764999579,-0.17379147064396705,0.34280205503013905,0,6,0.1,120,0.0,25.0
OV0193,-0.009995772325338548,-0.06842799041824237,-0.30203319479990964,0.3641561798046402,60,0,0.15,120,-1.0,25.0
OV0221,-0.009995772325338548,-0.06842799041824237,-0.1522509558934404,0.3641561798046402,60,3,0.15,120,-1.0,25.0
OV0249,-0.009995772325338548,-0.06842799041824237,-0.16554127080181524,0.3641561798046402,60,6,0.15,120,-1.0,25.0
OV0062,-0.012134214614985095,-0.06941439514912005,-0.17379147064396705,0.3404646226085788,0,6,0.1,60,0.0,25.0
OV0401,-0.01358958636991503,-0.07258060310184428,-0.19078407937693664,0.41237531439239966,200,6,0.1,120,-1.0,25.0
OV0393,-0.014073785022952312,-0.07506058741069867,-0.19104242415542239,0.41379310344827586,200,6,0.0,60,-1.0,25.0
OV0405,-0.014073785022952312,-0.07506058741069867,-0.19104242415542239,0.41379310344827586,200,6,0.12,60,-1.0,25.0
OV0409,-0.014073785022952312,-0.07506058741069867,-0.19104242415542239,0.41379310344827586,200,6,0.12,120,-1.0,25.0
OV0413,-0.014073785022952312,-0.07506058741069867,-0.19104242415542239,0.41379310344827586,200,6,0.15,60,-1.0,25.0
OV0417,-0.014073785022952312,-0.07506058741069867,-0.19104242415542239,0.41379310344827586,200,6,0.15,120,-1.0,25.0
OV0397,-0.015236704402783019,-0.08195610610719357,-0.19104242415542239,0.409430139849958,200,6,0.1,60,-1.0,25.0
OV0345,-0.024781835874775227,-0.08738391896548874,-0.30203319479990964,0.4802779653657342,200,0,0.1,120,-1.0,25.0
OV0185,-0.01276341049017915,-0.09276329082660649,-0.30203319479990964,0.2919885041155623,60,0,0.12,120,-1.0,25.0
OV0213,-0.01276341049017915,-0.09276329082660649,-0.1522509558934404,0.2919885041155623,60,3,0.12,120,-1.0,25.0
OV0241,-0.01276341049017915,-0.09276329082660649,-0.16694820318542036,0.2919885041155623,60,6,0.12,120,-1.0,25.0
OV0341,-0.026278417288505995,-0.09295402696988789,-0.30203319479990964,0.47140111851025884,200,0,0.1,60,-1.0,25.0
OV0349,-0.027863145822471402,-0.09802687464340763,-0.30203319479990964,0.5206118774970079,200,0,0.12,60,-1.0,25.0
OV0261,-0.027055713895721922,-0.0983870975775902,-0.30203319479990964,0.24551599902958549,120,0,0.1,120,-1.0,25.0
OV0353,-0.02802004878445341,-0.09860231407677293,-0.30203319479990964,0.5198141164166794,200,0,0.12,120,-1.0,25.0
OV0177,-0.013789594599902033,-0.10396610378447389,-0.30203319479990964,0.2433237534296353,60,0,0.1,120,-1.0,25.0
OV0205,-0.013789594599902033,-0.10396610378447389,-0.1522509558934404,0.2433237534296353,60,3,0.1,120,-1.0,25.0
OV0233,-0.013789594599902033,-0.10396610378447389,-0.17079858708749474,0.2433237534296353,60,6,0.1,120,-1.0,25.0
OV0357,-0.03197751424744544,-0.11215241788498768,-0.30203319479990964,0.530075191698846,200,0,0.15,60,-1.0,25.0
OV0361,-0.03217084112129709,-0.11287035798965357,-0.30203319479990964,0.5290779903484355,200,0,0.15,120,-1.0,25.0
OV0086,-0.021228937760837563,-0.12969078894350855,-0.1522509558934404,0.2413793103448276,20,0,0.0,60,0.0,25.0
OV0009,-0.04370832864724694,-0.14179709324812179,-0.3388719060989437,0.6407641849260226,0,0,0.1,120,-1.0,25.0
OV0141,-0.023761733954353437,-0.14428260445114752,-0.1522509558934404,0.3448275862068966,20,6,0.0,60,-1.0,25.0
OV0153,-0.023761733954353437,-0.14428260445114752,-0.1522509558934404,0.3448275862068966,20,6,0.12,60,-1.0,25.0
OV0161,-0.023761733954353437,-0.14428260445114752,-0.1522509558934404,0.3448275862068966,20,6,0.15,60,-1.0,25.0
OV0165,-0.023761733954353437,-0.14428260445114752,-0.1522509558934404,0.3448275862068966,20,6,0.15,120,-1.0,25.0
OV0145,-0.024241394947785655,-0.14789161030759823,-0.1522509558934404,0.3127289992698448,20,6,0.1,60,-1.0,25.0
OV0157,-0.025407712578046637,-0.15473710837489912,-0.1522509558934404,0.3398893364415757,20,6,0.12,120,-1.0,25.0
OV0110,-0.026727240000246844,-0.16896018820525358,-0.1522509558934404,0.2335798796489325,20,0,0.15,120,0.0,25.0
OV0017,-0.05762920405225036,-0.18130770148371597,-0.3685837201853551,0.7689170219112269,0,0,0.12,120,-1.0,25.0
OV0149,-0.030694399640886605,-0.1888243847213331,-0.1522509558934404,0.31933874992167355,20,6,0.1,120,-1.0,25.0
OV0106,-0.029644668295631393,-0.19030129781905042,-0.1522509558934404,0.2294733132807462,20,0,0.15,60,0.0,25.0
OV0293,-0.027727838732819587,-0.1946158624112843,-0.1522509558934404,0.18867300604396176,120,3,0.12,60,-1.0,25.0
OV0102,-0.030521554031131215,-0.19675524334060113,-0.1522509558934404,0.2282432140639736,20,0,0.12,120,0.0,25.0
OV0373,-0.037190685342029295,-0.20333474159391707,-0.19363211141890269,0.37789255577171,200,3,0.1,120,-1.0,25.0
OV0365,-0.03766329893860898,-0.20561757589596533,-0.19388954695402294,0.3793103448275862,200,3,0.0,60,-1.0,25.0
OV0377,-0.03766329893860898,-0.20561757589596533,-0.19388954695402294,0.3793103448275862,200,3,0.12,60,-1.0,25.0
OV0381,-0.03766329893860898,-0.20561757589596533,-0.19388954695402294,0.3793103448275862,200,3,0.12,120,-1.0,25.0
OV0385,-0.03766329893860898,-0.20561757589596533,-0.19388954695402294,0.3793103448275862,200,3,0.15,60,-1.0,25.0
OV0389,-0.03766329893860898,-0.20561757589596533,-0.19388954695402294,0.3793103448275862,200,3,0.15,120,-1.0,25.0
OV0337,-0.06279751986806204,-0.2111550805025535,-0.30203319479990964,0.5862068965517241,200,0,0.0,60,-1.0,25.0
