spec_id,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,fold,method,exposure,market_growth,strategy_growth,validation_ic,estimated_volatility
OV0029,0,3,0.0,60,-1.0,25.0,33,QAUR,1.0,,0.025915375903065918,-0.0502237866081455,
OV0029,0,3,0.0,60,-1.0,25.0,34,QAUR,1.0,,0.0301293168847252,0.0650710321782027,
OV0029,0,3,0.0,60,-1.0,25.0,35,QAUR,1.0,,0.05007122692066912,0.0561668883433754,
OV0029,0,3,0.0,60,-1.0,25.0,36,QAUR,1.0,,0.025049943896675142,0.0599747848468538,
OV0029,0,3,0.0,60,-1.0,25.0,37,QAUR,0.0,,-0.04421026138017936,0.125899687672472,
OV0029,0,3,0.0,60,-1.0,25.0,38,QAUR,0.0,,-0.042490267927886016,0.218636987248964,
OV0029,0,3,0.0,60,-1.0,25.0,39,QAUR,1.0,,0.0017481392356246683,0.1483290012628619,
OV0029,0,3,0.0,60,-1.0,25.0,40,QAUR,1.0,,0.17220792847004485,-0.0483882103213375,
OV0029,0,3,0.0,60,-1.0,25.0,41,QAUR,1.0,,0.21959731665900262,-0.0791962703574307,
OV0029,0,3,0.0,60,-1.0,25.0,42,QAUR,1.0,,0.1777543216811619,0.0715353286812834,
OV0029,0,3,0.0,60,-1.0,25.0,43,QAUR,1.0,,0.06915385556500508,0.2001132122074369,
OV0029,0,3,0.0,60,-1.0,25.0,44,QAUR,0.0,,-0.014872092119006641,0.1723597320132825,
OV0029,0,3,0.0,60,-1.0,25.0,45,QAUR,0.0,,-0.02923489945382518,0.1294274309711267,
OV0029,0,3,0.0,60,-1.0,25.0,46,QAUR,1.0,,0.005682804956227416,0.1446241484613002,
OV0029,0,3,0.0,60,-1.0,25.0,47,QAUR,1.0,,0.07189203645044939,0.1372321707601958,
OV0029,0,3,0.0,60,-1.0,25.0,48,QAUR,1.0,,0.09379135715754505,0.101280568912574,
OV0029,0,3,0.0,60,-1.0,25.0,49,QAUR,1.0,,0.15732284567380161,0.2303503087764476,
OV0029,0,3,0.0,60,-1.0,25.0,50,QAUR,1.0,,0.14652456792540902,0.2200433263251226,
OV0029,0,3,0.0,60,-1.0,25.0,51,QAUR,1.0,,0.08628770234085081,0.0716928067972777,
OV0029,0,3,0.0,60,-1.0,25.0,52,QAUR,0.0,,-0.030341153767031614,0.1268019033867795,
