spec_id,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,sample,method,mean_exposure,active_folds,total_folds,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
OV0004,0,0,0.0,60,0.1,25.0,development,QAUR,0.3793103448275862,11,29,604,-0.25911114055025997,-0.11761409269221068,0.13184197612039858,-0.8920838124028501,-0.6247685345642532,-0.40873964040937727
OV0004,0,0,0.0,60,0.1,25.0,historical_holdout,AUR,0.4666666666666667,7,15,312,0.1360252664132764,0.10850193100589767,0.06617821335145778,1.639541557727889,2.1093609963070237,-0.03836086806849248
OV0004,0,0,0.0,60,0.1,25.0,historical_holdout,QAUR,0.4666666666666667,7,15,312,0.1753540692195259,0.13939610773890498,0.07544927373492759,1.8475473763821615,2.352057592803331,-0.03475552016869077
OV0004,0,0,0.0,60,0.1,25.0,observed_2026,AUR,0.875,7,8,160,0.2066224335303939,0.3442342226789512,0.14861555303276902,2.3162732005784696,3.258731855106222,-0.05270421765777589
OV0004,0,0,0.0,60,0.1,25.0,observed_2026,QAUR,0.875,7,8,160,0.20655178049200829,0.34411025523621874,0.14862310604567547,2.315321381659628,3.2572411342584147,-0.05270421765777533
OV0005,0,0,0.1,60,-1.0,25.0,bridge,AUR,0.8084685363936632,1,1,22,0.0009887467958220597,0.011384363919716645,0.11015620605058722,0.10334745837641307,0.2890912968800648,-0.046632309264883265
OV0005,0,0,0.1,60,-1.0,25.0,bridge,QAUR,0.9940789509528171,1,1,22,-0.005094589888057777,-0.05682682326537791,0.17542954767534924,-0.32392960033472756,-0.5670553691721466,-0.050255552108060764
OV0005,0,0,0.1,60,-1.0,25.0,development,AUR,0.8027213130677889,29,29,604,-0.07964301383498829,-0.03403385516581603,0.13721372876873858,-0.24803534945965236,-0.27963967258299827,-0.3819665100605938
OV0005,0,0,0.1,60,-1.0,25.0,development,QAUR,0.8027213130677889,29,29,604,-0.07964301383498829,-0.03403385516581603,0.13721372876873858,-0.24803534945965236,-0.27963967258299827,-0.3819665100605938
OV0005,0,0,0.1,60,-1.0,25.0,historical_holdout,AUR,0.8123814657991039,15,15,312,0.10423576345757235,0.08337969506036114,0.11830545180727134,0.7047832013371037,0.8322382860817567,-0.13096078514839304
OV0005,0,0,0.1,60,-1.0,25.0,historical_holdout,QAUR,0.7887028395053295,15,15,312,0.12625961088734683,0.10079900246304097,0.11502334018760302,0.8763352055212258,1.0248766827945366,-0.13096078514839304
OV0005,0,0,0.1,60,-1.0,25.0,observed_2026,AUR,0.6655500572720093,8,8,160,0.1151169703750492,0.18721580512176073,0.10822191029148188,1.7299251567221359,2.602185168926003,-0.07040398027038841
OV0005,0,0,0.1,60,-1.0,25.0,observed_2026,QAUR,0.6558956141322543,8,8,160,0.11184562003658804,0.1817349255603311,0.10708253028543695,1.6971482190036256,2.5864119593566124,-0.07040398027038752
OV0006,0,0,0.1,60,0.0,25.0,bridge,AUR,0.8084685363936632,1,1,22,0.0009887467958220597,0.011384363919716645,0.11015620605058722,0.10334745837641307,0.2890912968800648,-0.046632309264883265
OV0006,0,0,0.1,60,0.0,25.0,bridge,QAUR,0.9940789509528171,1,1,22,-0.005094589888057777,-0.05682682326537791,0.17542954767534924,-0.32392960033472756,-0.5670553691721466,-0.050255552108060764
OV0006,0,0,0.1,60,0.0,25.0,development,AUR,0.5318519349514822,19,29,604,-0.18245391272991685,-0.08061273016018089,0.12655795900897013,-0.6369629440252529,-0.5738613024885112,-0.34995435373763584
OV0006,0,0,0.1,60,0.0,25.0,development,QAUR,0.5318519349514822,19,29,604,-0.18245391272991685,-0.08061273016018089,0.12655795900897013,-0.6369629440252529,-0.5738613024885112,-0.34995435373763584
OV0006,0,0,0.1,60,0.0,25.0,historical_holdout,AUR,0.573027103917707,11,15,312,0.020688110283105132,0.016676658296991054,0.10669039250388233,0.15630890378797893,0.15237665564525082,-0.13096078514839327
OV0006,0,0,0.1,60,0.0,25.0,historical_holdout,QAUR,0.5690585282266891,11,15,312,0.03471210463764396,0.027944388699464362,0.10556068154527294,0.2647234584922564,0.25700893520484386,-0.13096078514839327
OV0006,0,0,0.1,60,0.0,25.0,observed_2026,AUR,0.6655500572720093,8,8,160,0.1151169703750492,0.18721580512176073,0.10822191029148188,1.7299251567221359,2.602185168926003,-0.07040398027038841
OV0006,0,0,0.1,60,0.0,25.0,observed_2026,QAUR,0.6558956141322543,8,8,160,0.11184562003658804,0.1817349255603311,0.10708253028543695,1.6971482190036256,2.5864119593566124,-0.07040398027038752
OV0007,0,0,0.1,60,0.05,25.0,bridge,AUR,0.8084685363936632,1,1,22,0.0009887467958220597,0.011384363919716645,0.11015620605058722,0.10334745837641307,0.2890912968800648,-0.046632309264883265
