spec_id,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,fold,method,exposure,market_growth,strategy_growth,validation_ic,estimated_volatility
OV0376,200,3,0.1,120,0.1,25.0,10,AUR,0.0,-0.37760239768220283,-0.2647674141447458,0.1650907409819335,
OV0376,200,3,0.1,120,0.1,25.0,11,AUR,0.0,-0.1837975633868124,0.014085270038660225,0.0388024821303733,
OV0376,200,3,0.1,120,0.1,25.0,12,AUR,0.0,-0.19941731260495776,0.10592197852438479,0.0857661112981593,
OV0376,200,3,0.1,120,0.1,25.0,13,AUR,0.0,-0.14332029751494912,0.06529594095101254,-0.0118121491210678,
OV0376,200,3,0.1,120,0.1,25.0,14,AUR,0.0,-0.14421936868846252,0.16237774354026935,-0.0829658433754555,
OV0376,200,3,0.1,120,0.1,25.0,15,AUR,0.0,-0.10142611179985017,0.1362927301514174,-0.1163422734384221,
OV0376,200,3,0.1,120,0.1,25.0,16,AUR,0.0,0.14487396522140794,0.16456394491030113,-0.0972193519230404,
OV0376,200,3,0.1,120,0.1,25.0,17,AUR,0.0,0.4520438962525706,0.014822272879747578,-0.0438253331721124,
OV0376,200,3,0.1,120,0.1,25.0,18,AUR,0.0,0.22544947948843408,0.0015802057406721914,0.0142662951684129,
OV0376,200,3,0.1,120,0.1,25.0,19,AUR,0.0,0.11054827751242069,-0.06428315449119792,0.2494091763766036,
OV0376,200,3,0.1,120,0.1,25.0,20,AUR,0.0,0.1587659119408098,-0.022147201024683594,0.1029391640332599,
OV0376,200,3,0.1,120,0.1,25.0,21,AUR,0.0,0.18880439408770444,0.020066041837675463,-0.1310774178573737,
OV0376,200,3,0.1,120,0.1,25.0,22,AUR,0.0,0.17838834773926027,0.1283692165820094,0.0022795944089448,
OV0376,200,3,0.1,120,0.1,25.0,23,AUR,1.0,0.15508163938770791,0.15349026908127672,0.2069822865702641,0.09697156086752828
OV0376,200,3,0.1,120,0.1,25.0,24,AUR,0.9881749674080451,0.06415329461012842,0.15893434300042109,0.2230909201258613,0.10119665372853673
OV0376,200,3,0.1,120,0.1,25.0,25,AUR,1.0,0.007385124063168602,0.05988861142053947,0.1294554999475838,0.0959720680467686
OV0376,200,3,0.1,120,0.1,25.0,26,AUR,0.0,-0.00829424464306261,0.04413016782587387,0.0168922292662246,
OV0376,200,3,0.1,120,0.1,25.0,27,AUR,0.0,0.008245329156425951,0.030959999251017223,0.0039280143056151,
OV0376,200,3,0.1,120,0.1,25.0,28,AUR,1.0,0.002903571174308839,0.08046986622033958,0.1364658880697113,0.09720402220875421
OV0376,200,3,0.1,120,0.1,25.0,29,AUR,1.0,0.06842612972916484,0.061629005045290564,0.1751334860819501,0.08386960355165742
OV0376,200,3,0.1,120,0.1,25.0,30,AUR,1.0,0.0421060245404532,0.06023118547024531,0.2028157696886655,0.08585093583155827
OV0376,200,3,0.1,120,0.1,25.0,31,AUR,1.0,0.014963648550005537,0.04683616431237825,0.1823543012343227,0.07115723904839422
OV0376,200,3,0.1,120,0.1,25.0,32,AUR,0.0,0.028535845074565858,0.033564823852201275,-0.0161127245186476,
OV0376,200,3,0.1,120,0.1,25.0,33,AUR,0.0,0.02432265947919432,0.025915375903065918,-0.0502237866081455,
OV0376,200,3,0.1,120,0.1,25.0,34,AUR,0.0,0.014381381675749427,0.0301293168847252,0.0650710321782027,
OV0376,200,3,0.1,120,0.1,25.0,35,AUR,0.0,0.09989182676720487,0.05007122692066912,0.0561668883433754,
OV0376,200,3,0.1,120,0.1,25.0,36,AUR,0.0,0.017882389433266255,0.025049943896675142,0.0599747848468538,
OV0376,200,3,0.1,120,0.1,25.0,37,AUR,0.0,-0.05715976466272432,-0.04421026138017936,0.125899687672472,
OV0376,200,3,0.1,120,0.1,25.0,38,AUR,0.0,0.08982983272400236,-0.042490267927886016,0.218636987248964,
OV0376,200,3,0.1,120,0.1,25.0,39,AUR,0.0,0.1034491663640702,-0.01722392203782741,0.1483290012628619,
OV0376,200,3,0.1,120,0.1,25.0,40,AUR,0.0,0.19617259048555713,0.1421757236055865,-0.0483882103213375,
OV0376,200,3,0.1,120,0.1,25.0,41,AUR,0.0,0.23469952307591102,0.16852502226815735,-0.0791962703574307,
OV0376,200,3,0.1,120,0.1,25.0,42,AUR,0.0,0.22981627975756602,0.1454138718225888,0.0715353286812834,
OV0376,200,3,0.1,120,0.1,25.0,43,AUR,0.6970577397759484,0.1963610703699803,0.05010532424087866,0.2001132122074369,0.14346013865672372
OV0376,200,3,0.1,120,0.1,25.0,44,AUR,0.0,0.16341064261581817,-0.023929659373576717,0.1723597320132825,
OV0376,200,3,0.1,120,0.1,25.0,45,AUR,0.0,0.13722353858975955,-0.028385495785316905,0.1294274309711267,
OV0376,200,3,0.1,120,0.1,25.0,46,AUR,0.6655484053818127,0.2537465845701552,0.0035733710748382386,0.1446241484613002,0.15025203154477076
OV0376,200,3,0.1,120,0.1,25.0,47,AUR,0.6730735017823296,0.24721831783946957,0.07832586720444246,0.1372321707601958,0.1485721837736821
OV0376,200,3,0.1,120,0.1,25.0,48,AUR,0.6627702596815037,0.14309914324428008,0.09385540719169527,0.101280568912574,0.15088184561578746
OV0376,200,3,0.1,120,0.1,25.0,49,AUR,0.6262512631607595,0.11144421822550288,0.15732284567380161,0.2303503087764476,0.15968031664365662
OV0376,200,3,0.1,120,0.1,25.0,50,AUR,0.6199411129201776,0.01597275545475285,0.14652456792540902,0.2200433263251226,0.16130564325530675
OV0376,200,3,0.1,120,0.1,25.0,51,AUR,0.0,-0.013128664144009816,0.08628770234085081,0.0716928067972777,
OV0376,200,3,0.1,120,0.1,25.0,52,AUR,0.0,-0.061602016663808046,-0.030341153767031614,0.1268019033867795,
OV0376,200,3,0.1,120,0.1,25.0,0,QAUR,1.0,0.7318504156513077,,0.1458097053584929,
OV0376,200,3,0.1,120,0.1,25.0,1,QAUR,0.0,0.6027951316368807,-0.11855457457300356,0.1651887279683717,
OV0376,200,3,0.1,120,0.1,25.0,2,QAUR,0.0,0.32936233495022904,-0.15604560392888311,0.0764920859628268,
OV0376,200,3,0.1,120,0.1,25.0,3,QAUR,0.0,0.045109105945755124,-0.18665802131223364,-0.1837065178421047,
OV0376,200,3,0.1,120,0.1,25.0,4,QAUR,0.0,0.0441403522506254,-0.09853400703144222,-0.0833110018313464,
OV0376,200,3,0.1,120,0.1,25.0,5,QAUR,0.0,-0.08843888231315378,-0.051838215757001316,-0.2177020551437719,
OV0376,200,3,0.1,120,0.1,25.0,6,QAUR,0.0,-0.19708866908054945,-0.04579371862132808,-0.0701645315303165,
OV0376,200,3,0.1,120,0.1,25.0,7,QAUR,0.0,-0.3968387122713074,-0.05193952331171614,0.2463882802545031,
OV0376,200,3,0.1,120,0.1,25.0,8,QAUR,0.0,-0.3737639527418267,-0.2962566077315799,0.0379681151139238,
OV0376,200,3,0.1,120,0.1,25.0,9,QAUR,0.0,-0.44025584018531017,-0.311241101658539,0.1502621043863483,
OV0376,200,3,0.1,120,0.1,25.0,10,QAUR,0.0,-0.37760239768220283,-0.2647674141447458,0.1650907409819335,
OV0376,200,3,0.1,120,0.1,25.0,11,QAUR,0.0,-0.1837975633868124,0.014085270038660225,0.0388024821303733,
OV0376,200,3,0.1,120,0.1,25.0,12,QAUR,0.0,-0.19941731260495776,0.10592197852438479,0.0857661112981593,
OV0376,200,3,0.1,120,0.1,25.0,13,QAUR,0.0,-0.14332029751494912,0.06529594095101254,-0.0118121491210678,
OV0376,200,3,0.1,120,0.1,25.0,14,QAUR,0.0,-0.14421936868846252,0.16237774354026935,-0.0829658433754555,
OV0376,200,3,0.1,120,0.1,25.0,15,QAUR,0.0,-0.10142611179985017,0.1362927301514174,-0.1163422734384221,
OV0376,200,3,0.1,120,0.1,25.0,16,QAUR,0.0,0.14487396522140794,0.16456394491030113,-0.0972193519230404,
OV0376,200,3,0.1,120,0.1,25.0,17,QAUR,0.0,0.4520438962525706,0.014822272879747578,-0.0438253331721124,
OV0376,200,3,0.1,120,0.1,25.0,18,QAUR,0.0,0.22544947948843408,0.0015802057406721914,0.0142662951684129,
OV0376,200,3,0.1,120,0.1,25.0,19,QAUR,0.0,0.11054827751242069,-0.06428315449119792,0.2494091763766036,
OV0376,200,3,0.1,120,0.1,25.0,20,QAUR,0.0,0.1587659119408098,-0.022147201024683594,0.1029391640332599,
OV0376,200,3,0.1,120,0.1,25.0,21,QAUR,0.0,0.18880439408770444,0.020066041837675463,-0.1310774178573737,
OV0376,200,3,0.1,120,0.1,25.0,22,QAUR,0.0,0.17838834773926027,0.1283692165820094,0.0022795944089448,
OV0376,200,3,0.1,120,0.1,25.0,23,QAUR,1.0,0.15508163938770791,0.15349026908127672,0.2069822865702641,0.09697156086752828
OV0376,200,3,0.1,120,0.1,25.0,24,QAUR,0.9881749674080451,0.06415329461012842,0.15893434300042109,0.2230909201258613,0.10119665372853673
OV0376,200,3,0.1,120,0.1,25.0,25,QAUR,1.0,0.007385124063168602,0.05988861142053947,0.1294554999475838,0.0959720680467686
OV0376,200,3,0.1,120,0.1,25.0,26,QAUR,0.0,-0.00829424464306261,0.04413016782587387,0.0168922292662246,
OV0376,200,3,0.1,120,0.1,25.0,27,QAUR,0.0,0.008245329156425951,0.030959999251017223,0.0039280143056151,
OV0376,200,3,0.1,120,0.1,25.0,28,QAUR,1.0,0.002903571174308839,0.08046986622033958,0.1364658880697113,0.09720402220875421
OV0376,200,3,0.1,120,0.1,25.0,29,QAUR,1.0,0.06842612972916484,0.061629005045290564,0.1751334860819501,0.08386960355165742
OV0376,200,3,0.1,120,0.1,25.0,30,QAUR,1.0,0.0421060245404532,0.06023118547024531,0.2028157696886655,0.08585093583155827
OV0376,200,3,0.1,120,0.1,25.0,31,QAUR,1.0,0.014963648550005537,0.04683616431237825,0.1823543012343227,0.07115723904839422
OV0376,200,3,0.1,120,0.1,25.0,32,QAUR,0.0,0.028535845074565858,0.033564823852201275,-0.0161127245186476,
OV0376,200,3,0.1,120,0.1,25.0,33,QAUR,0.0,0.02432265947919432,0.025915375903065918,-0.0502237866081455,
OV0376,200,3,0.1,120,0.1,25.0,34,QAUR,0.0,0.014381381675749427,0.0301293168847252,0.0650710321782027,
OV0376,200,3,0.1,120,0.1,25.0,35,QAUR,0.0,0.09989182676720487,0.05007122692066912,0.0561668883433754,
OV0376,200,3,0.1,120,0.1,25.0,36,QAUR,0.0,0.017882389433266255,0.025049943896675142,0.0599747848468538,
OV0376,200,3,0.1,120,0.1,25.0,37,QAUR,0.0,-0.05715976466272432,-0.04421026138017936,0.125899687672472,
OV0376,200,3,0.1,120,0.1,25.0,38,QAUR,0.0,0.08982983272400236,-0.042490267927886016,0.218636987248964,
OV0376,200,3,0.1,120,0.1,25.0,39,QAUR,0.5928136915389169,0.1034491663640702,0.0017481392356246683,0.1483290012628619,0.168687062102774
OV0376,200,3,0.1,120,0.1,25.0,40,QAUR,0.0,0.19617259048555713,0.17220792847004485,-0.0483882103213375,
OV0376,200,3,0.1,120,0.1,25.0,41,QAUR,0.0,0.23469952307591102,0.21959731665900262,-0.0791962703574307,
OV0376,200,3,0.1,120,0.1,25.0,42,QAUR,0.0,0.22981627975756602,0.1777543216811619,0.0715353286812834,
OV0376,200,3,0.1,120,0.1,25.0,43,QAUR,0.6521260807199695,0.1963610703699803,0.06915385556500508,0.2001132122074369,0.15334458006892868
OV0376,200,3,0.1,120,0.1,25.0,44,QAUR,0.0,0.16341064261581817,-0.014872092119006641,0.1723597320132825,
OV0376,200,3,0.1,120,0.1,25.0,45,QAUR,0.0,0.13722353858975955,-0.02923489945382518,0.1294274309711267,
OV0376,200,3,0.1,120,0.1,25.0,46,QAUR,0.6569117530223222,0.2537465845701552,0.005682804956227416,0.1446241484613002,0.15222744842046076
OV0376,200,3,0.1,120,0.1,25.0,47,QAUR,0.6710904018123346,0.24721831783946957,0.07189203645044939,0.1372321707601958,0.1490112207385798
OV0376,200,3,0.1,120,0.1,25.0,48,QAUR,0.6752181046100726,0.14309914324428008,0.09379135715754505,0.101280568912574,0.14810029428601942
OV0376,200,3,0.1,120,0.1,25.0,49,QAUR,0.6081199719363063,0.11144421822550288,0.15732284567380161,0.2303503087764476,0.16444123629354157
OV0376,200,3,0.1,120,0.1,25.0,50,QAUR,0.5947576541428106,0.01597275545475285,0.14652456792540902,0.2200433263251226,0.1681357092312232
OV0376,200,3,0.1,120,0.1,25.0,51,QAUR,0.0,-0.013128664144009816,0.08628770234085081,0.0716928067972777,
OV0376,200,3,0.1,120,0.1,25.0,52,QAUR,0.0,-0.061602016663808046,-0.030341153767031614,0.1268019033867795,
OV0377,200,3,0.12,60,-1.0,25.0,0,AUR,1.0,0.7318504156513077,,0.1458097053584929,
OV0377,200,3,0.12,60,-1.0,25.0,1,AUR,0.0,0.6027951316368807,-0.11855457457300356,0.1651887279683717,
OV0377,200,3,0.12,60,-1.0,25.0,2,AUR,0.0,0.32936233495022904,-0.15604560392888311,0.0764920859628268,
OV0377,200,3,0.12,60,-1.0,25.0,3,AUR,0.0,0.045109105945755124,-0.18665802131223364,-0.1837065178421047,
OV0377,200,3,0.12,60,-1.0,25.0,4,AUR,0.0,0.0441403522506254,-0.09853400703144222,-0.0833110018313464,
OV0377,200,3,0.12,60,-1.0,25.0,5,AUR,0.0,-0.08843888231315378,-0.051838215757001316,-0.2177020551437719,
OV0377,200,3,0.12,60,-1.0,25.0,6,AUR,0.0,-0.19708866908054945,-0.04579371862132808,-0.0701645315303165,
OV0377,200,3,0.12,60,-1.0,25.0,7,AUR,0.0,-0.3968387122713074,-0.05193952331171614,0.2463882802545031,
OV0377,200,3,0.12,60,-1.0,25.0,8,AUR,0.0,-0.3737639527418267,-0.2962566077315799,0.0379681151139238,
OV0377,200,3,0.12,60,-1.0,25.0,9,AUR,0.0,-0.44025584018531017,-0.311241101658539,0.1502621043863483,
OV0377,200,3,0.12,60,-1.0,25.0,10,AUR,0.0,-0.37760239768220283,-0.2647674141447458,0.1650907409819335,
OV0377,200,3,0.12,60,-1.0,25.0,11,AUR,0.0,-0.1837975633868124,0.014085270038660225,0.0388024821303733,
OV0377,200,3,0.12,60,-1.0,25.0,12,AUR,0.0,-0.19941731260495776,0.10592197852438479,0.0857661112981593,
OV0377,200,3,0.12,60,-1.0,25.0,13,AUR,0.0,-0.14332029751494912,0.06529594095101254,-0.0118121491210678,
OV0377,200,3,0.12,60,-1.0,25.0,14,AUR,0.0,-0.14421936868846252,0.16237774354026935,-0.0829658433754555,
OV0377,200,3,0.12,60,-1.0,25.0,15,AUR,0.0,-0.10142611179985017,0.1362927301514174,-0.1163422734384221,
OV0377,200,3,0.12,60,-1.0,25.0,16,AUR,1.0,0.14487396522140794,0.16456394491030113,-0.0972193519230404,0.07505696616928989
OV0377,200,3,0.12,60,-1.0,25.0,17,AUR,1.0,0.4520438962525706,0.014822272879747578,-0.0438253331721124,0.07090122021840177
OV0377,200,3,0.12,60,-1.0,25.0,18,AUR,1.0,0.22544947948843408,0.0015802057406721914,0.0142662951684129,0.08408382666820668
OV0377,200,3,0.12,60,-1.0,25.0,19,AUR,0.0,0.11054827751242069,-0.06428315449119792,0.2494091763766036,
OV0377,200,3,0.12,60,-1.0,25.0,20,AUR,0.0,0.1587659119408098,-0.022147201024683594,0.1029391640332599,
OV0377,200,3,0.12,60,-1.0,25.0,21,AUR,1.0,0.18880439408770444,0.020066041837675463,-0.1310774178573737,0.09605521999734619
OV0377,200,3,0.12,60,-1.0,25.0,22,AUR,1.0,0.17838834773926027,0.1283692165820094,0.0022795944089448,0.08615744449633442
OV0377,200,3,0.12,60,-1.0,25.0,23,AUR,1.0,0.15508163938770791,0.15349026908127672,0.2069822865702641,0.09475013207162823
OV0377,200,3,0.12,60,-1.0,25.0,24,AUR,1.0,0.06415329461012842,0.15893434300042109,0.2230909201258613,0.10435894940736666
OV0377,200,3,0.12,60,-1.0,25.0,25,AUR,1.0,0.007385124063168602,0.05988861142053947,0.1294554999475838,0.10926061645757376
OV0377,200,3,0.12,60,-1.0,25.0,26,AUR,0.0,-0.00829424464306261,0.04413016782587387,0.0168922292662246,
OV0377,200,3,0.12,60,-1.0,25.0,27,AUR,1.0,0.008245329156425951,0.030959999251017223,0.0039280143056151,0.09643967185431163
OV0377,200,3,0.12,60,-1.0,25.0,28,AUR,1.0,0.002903571174308839,0.08046986622033958,0.1364658880697113,0.07241585842760057
OV0377,200,3,0.12,60,-1.0,25.0,29,AUR,1.0,0.06842612972916484,0.061629005045290564,0.1751334860819501,0.0698678814910111
OV0377,200,3,0.12,60,-1.0,25.0,30,AUR,1.0,0.0421060245404532,0.06023118547024531,0.2028157696886655,0.07320165415888796
OV0377,200,3,0.12,60,-1.0,25.0,31,AUR,1.0,0.014963648550005537,0.04683616431237825,0.1823543012343227,0.067834932593638
OV0377,200,3,0.12,60,-1.0,25.0,32,AUR,1.0,0.028535845074565858,0.033564823852201275,-0.0161127245186476,0.0712731697414959
OV0377,200,3,0.12,60,-1.0,25.0,33,AUR,1.0,0.02432265947919432,0.025915375903065918,-0.0502237866081455,0.05956981316367402
OV0377,200,3,0.12,60,-1.0,25.0,34,AUR,1.0,0.014381381675749427,0.0301293168847252,0.0650710321782027,0.05422275926542907
OV0377,200,3,0.12,60,-1.0,25.0,35,AUR,1.0,0.09989182676720487,0.05007122692066912,0.0561668883433754,0.0616559319026056
OV0377,200,3,0.12,60,-1.0,25.0,36,AUR,1.0,0.017882389433266255,0.025049943896675142,0.0599747848468538,0.0725485634614017
OV0377,200,3,0.12,60,-1.0,25.0,37,AUR,0.0,-0.05715976466272432,-0.04421026138017936,0.125899687672472,
OV0377,200,3,0.12,60,-1.0,25.0,38,AUR,0.0,0.08982983272400236,-0.042490267927886016,0.218636987248964,
OV0377,200,3,0.12,60,-1.0,25.0,39,AUR,0.0,0.1034491663640702,-0.01722392203782741,0.1483290012628619,
OV0377,200,3,0.12,60,-1.0,25.0,40,AUR,1.0,0.19617259048555713,0.1421757236055865,-0.0483882103213375,0.11425513322985045
OV0377,200,3,0.12,60,-1.0,25.0,41,AUR,0.85809747521288,0.23469952307591102,0.16852502226815735,-0.0791962703574307,0.13984425250782836
OV0377,200,3,0.12,60,-1.0,25.0,42,AUR,0.737650269522018,0.22981627975756602,0.1454138718225888,0.0715353286812834,0.16267871775842704
OV0377,200,3,0.12,60,-1.0,25.0,43,AUR,0.7447839163050597,0.1963610703699803,0.05010532424087866,0.2001132122074369,0.16112055775228182
OV0377,200,3,0.12,60,-1.0,25.0,44,AUR,0.0,0.16341064261581817,-0.023929659373576717,0.1723597320132825,
OV0377,200,3,0.12,60,-1.0,25.0,45,AUR,0.0,0.13722353858975955,-0.028385495785316905,0.1294274309711267,
OV0377,200,3,0.12,60,-1.0,25.0,46,AUR,0.8552569579044225,0.2537465845701552,0.0035733710748382386,0.1446241484613002,0.140308709436317
OV0377,200,3,0.12,60,-1.0,25.0,47,AUR,0.7758262477210083,0.24721831783946957,0.07832586720444246,0.1372321707601958,0.15467380789513158
OV0377,200,3,0.12,60,-1.0,25.0,48,AUR,0.6744462357741118,0.14309914324428008,0.09385540719169527,0.101280568912574,0.17792374489608817
OV0377,200,3,0.12,60,-1.0,25.0,49,AUR,0.6836484321267013,0.11144421822550288,0.15732284567380161,0.2303503087764476,0.1755288162172809
OV0377,200,3,0.12,60,-1.0,25.0,50,AUR,0.7081294390456462,0.01597275545475285,0.14652456792540902,0.2200433263251226,0.16946054405212319
OV0377,200,3,0.12,60,-1.0,25.0,51,AUR,0.0,-0.013128664144009816,0.08628770234085081,0.0716928067972777,
OV0377,200,3,0.12,60,-1.0,25.0,52,AUR,0.0,-0.061602016663808046,-0.030341153767031614,0.1268019033867795,
OV0377,200,3,0.12,60,-1.0,25.0,0,QAUR,1.0,0.7318504156513077,,0.1458097053584929,
OV0377,200,3,0.12,60,-1.0,25.0,1,QAUR,0.0,0.6027951316368807,-0.11855457457300356,0.1651887279683717,
OV0377,200,3,0.12,60,-1.0,25.0,2,QAUR,0.0,0.32936233495022904,-0.15604560392888311,0.0764920859628268,
OV0377,200,3,0.12,60,-1.0,25.0,3,QAUR,0.0,0.045109105945755124,-0.18665802131223364,-0.1837065178421047,
OV0377,200,3,0.12,60,-1.0,25.0,4,QAUR,0.0,0.0441403522506254,-0.09853400703144222,-0.0833110018313464,
OV0377,200,3,0.12,60,-1.0,25.0,5,QAUR,0.0,-0.08843888231315378,-0.051838215757001316,-0.2177020551437719,
OV0377,200,3,0.12,60,-1.0,25.0,6,QAUR,0.0,-0.19708866908054945,-0.04579371862132808,-0.0701645315303165,
OV0377,200,3,0.12,60,-1.0,25.0,7,QAUR,0.0,-0.3968387122713074,-0.05193952331171614,0.2463882802545031,
OV0377,200,3,0.12,60,-1.0,25.0,8,QAUR,0.0,-0.3737639527418267,-0.2962566077315799,0.0379681151139238,
OV0377,200,3,0.12,60,-1.0,25.0,9,QAUR,0.0,-0.44025584018531017,-0.311241101658539,0.1502621043863483,
OV0377,200,3,0.12,60,-1.0,25.0,10,QAUR,0.0,-0.37760239768220283,-0.2647674141447458,0.1650907409819335,
OV0377,200,3,0.12,60,-1.0,25.0,11,QAUR,0.0,-0.1837975633868124,0.014085270038660225,0.0388024821303733,
OV0377,200,3,0.12,60,-1.0,25.0,12,QAUR,0.0,-0.19941731260495776,0.10592197852438479,0.0857661112981593,
OV0377,200,3,0.12,60,-1.0,25.0,13,QAUR,0.0,-0.14332029751494912,0.06529594095101254,-0.0118121491210678,
OV0377,200,3,0.12,60,-1.0,25.0,14,QAUR,0.0,-0.14421936868846252,0.16237774354026935,-0.0829658433754555,
OV0377,200,3,0.12,60,-1.0,25.0,15,QAUR,0.0,-0.10142611179985017,0.1362927301514174,-0.1163422734384221,
OV0377,200,3,0.12,60,-1.0,25.0,16,QAUR,1.0,0.14487396522140794,0.16456394491030113,-0.0972193519230404,0.07505696616928989
OV0377,200,3,0.12,60,-1.0,25.0,17,QAUR,1.0,0.4520438962525706,0.014822272879747578,-0.0438253331721124,0.07090122021840177
OV0377,200,3,0.12,60,-1.0,25.0,18,QAUR,1.0,0.22544947948843408,0.0015802057406721914,0.0142662951684129,0.08408382666820668
OV0377,200,3,0.12,60,-1.0,25.0,19,QAUR,0.0,0.11054827751242069,-0.06428315449119792,0.2494091763766036,
OV0377,200,3,0.12,60,-1.0,25.0,20,QAUR,0.0,0.1587659119408098,-0.022147201024683594,0.1029391640332599,
OV0377,200,3,0.12,60,-1.0,25.0,21,QAUR,1.0,0.18880439408770444,0.020066041837675463,-0.1310774178573737,0.09605521999734619
OV0377,200,3,0.12,60,-1.0,25.0,22,QAUR,1.0,0.17838834773926027,0.1283692165820094,0.0022795944089448,0.08615744449633442
OV0377,200,3,0.12,60,-1.0,25.0,23,QAUR,1.0,0.15508163938770791,0.15349026908127672,0.2069822865702641,0.09475013207162823
OV0377,200,3,0.12,60,-1.0,25.0,24,QAUR,1.0,0.06415329461012842,0.15893434300042109,0.2230909201258613,0.10435894940736666
OV0377,200,3,0.12,60,-1.0,25.0,25,QAUR,1.0,0.007385124063168602,0.05988861142053947,0.1294554999475838,0.10926061645757376
OV0377,200,3,0.12,60,-1.0,25.0,26,QAUR,0.0,-0.00829424464306261,0.04413016782587387,0.0168922292662246,
OV0377,200,3,0.12,60,-1.0,25.0,27,QAUR,1.0,0.008245329156425951,0.030959999251017223,0.0039280143056151,0.09643967185431163
OV0377,200,3,0.12,60,-1.0,25.0,28,QAUR,1.0,0.002903571174308839,0.08046986622033958,0.1364658880697113,0.07241585842760057
OV0377,200,3,0.12,60,-1.0,25.0,29,QAUR,1.0,0.06842612972916484,0.061629005045290564,0.1751334860819501,0.0698678814910111
OV0377,200,3,0.12,60,-1.0,25.0,30,QAUR,1.0,0.0421060245404532,0.06023118547024531,0.2028157696886655,0.07320165415888796
OV0377,200,3,0.12,60,-1.0,25.0,31,QAUR,1.0,0.014963648550005537,0.04683616431237825,0.1823543012343227,0.067834932593638
OV0377,200,3,0.12,60,-1.0,25.0,32,QAUR,1.0,0.028535845074565858,0.033564823852201275,-0.0161127245186476,0.0712731697414959
OV0377,200,3,0.12,60,-1.0,25.0,33,QAUR,1.0,0.02432265947919432,0.025915375903065918,-0.0502237866081455,0.05956981316367402
OV0377,200,3,0.12,60,-1.0,25.0,34,QAUR,1.0,0.014381381675749427,0.0301293168847252,0.0650710321782027,0.05422275926542907
OV0377,200,3,0.12,60,-1.0,25.0,35,QAUR,1.0,0.09989182676720487,0.05007122692066912,0.0561668883433754,0.0616559319026056
OV0377,200,3,0.12,60,-1.0,25.0,36,QAUR,1.0,0.017882389433266255,0.025049943896675142,0.0599747848468538,0.0725485634614017
OV0377,200,3,0.12,60,-1.0,25.0,37,QAUR,0.0,-0.05715976466272432,-0.04421026138017936,0.125899687672472,
OV0377,200,3,0.12,60,-1.0,25.0,38,QAUR,0.0,0.08982983272400236,-0.042490267927886016,0.218636987248964,
