spec_id,worst_method_sharpe,worst_method_return,worst_method_drawdown,minimum_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,eligible
OV0389,-0.20561757589596533,-0.03766329893860898,-0.19388954695402294,0.3793103448275862,200,3,0.15,120,-1.0,25.0,False
OV0186,-0.21032375320655494,-0.057077760998554106,-0.30203319479990964,0.37288410408847605,60,0,0.12,120,0.0,25.0,False
OV0337,-0.2111550805025535,-0.06279751986806204,-0.30203319479990964,0.5862068965517241,200,0,0.0,60,-1.0,25.0,False
OV0309,-0.21161398378711452,-0.037826337170715485,-0.16259402397799083,0.4482758620689655,120,6,0.0,60,-1.0,25.0,False
OV0321,-0.21161398378711452,-0.037826337170715485,-0.16259402397799083,0.4482758620689655,120,6,0.12,60,-1.0,25.0,False
OV0329,-0.21161398378711452,-0.037826337170715485,-0.16259402397799083,0.4482758620689655,120,6,0.15,60,-1.0,25.0,False
OV0333,-0.21161398378711452,-0.037826337170715485,-0.16259402397799083,0.4482758620689655,120,6,0.15,120,-1.0,25.0,False
OV0202,-0.21269261633402453,-0.036721332535891826,-0.16482317256777723,0.31634318883027907,60,3,0.1,60,0.0,25.0,False
OV0369,-0.21368016654870362,-0.038798394022385496,-0.19388954695402294,0.37494738122926846,200,3,0.1,60,-1.0,25.0,False
OV0098,-0.21408315696168273,-0.032870177312586346,-0.1522509558934404,0.22495796096942453,20,0,0.12,60,0.0,25.0,False
OV0182,-0.21430192525349392,-0.05831763407065349,-0.30203319479990964,0.382219136987189,60,0,0.12,60,0.0,25.0,False
OV0346,-0.21511268372648684,-0.058250436542297446,-0.30203319479990964,0.3872023975372112,200,0,0.1,120,0.0,25.0,False
OV0206,-0.2172709121194711,-0.03737453539555147,-0.1658640098367088,0.3081637162574543,60,3,0.1,120,0.0,25.0,False
OV0342,-0.22066700217359547,-0.059522729052578716,-0.30203319479990964,0.3837024459958074,200,0,0.1,60,0.0,25.0,False
