fold,decision_time,method,ticker,selected_downstream,reduction_objective
2,2022-12-30,AUR,VJC,False,5.906002865994227
2,2022-12-30,AUR,VNM,False,5.906002865994227
2,2022-12-30,QAUR,BVH,False,5.8627561392136505
2,2022-12-30,QAUR,CDC,False,5.8627561392136505
2,2022-12-30,QAUR,CTG,True,5.8627561392136505
2,2022-12-30,QAUR,HPX,True,5.8627561392136505
2,2022-12-30,QAUR,NVL,True,5.8627561392136505
2,2022-12-30,QAUR,SHB,False,5.8627561392136505
2,2022-12-30,QAUR,SHI,True,5.8627561392136505
2,2022-12-30,QAUR,VNM,False,5.8627561392136505
3,2023-04-28,AUR,CDC,False,5.011253295172891
3,2023-04-28,AUR,CTG,False,5.011253295172891
3,2023-04-28,AUR,LIX,True,5.011253295172891
3,2023-04-28,AUR,NSC,True,5.011253295172891
3,2023-04-28,AUR,PGC,True,5.011253295172891
3,2023-04-28,AUR,TPB,True,5.011253295172891
3,2023-04-28,AUR,VJC,False,5.011253295172891
3,2023-04-28,AUR,VNM,False,5.011253295172891
3,2023-04-28,QAUR,CDC,True,5.140122634424314
3,2023-04-28,QAUR,CTG,False,5.140122634424314
3,2023-04-28,QAUR,HDB,False,5.140122634424314
3,2023-04-28,QAUR,LIX,True,5.140122634424314
3,2023-04-28,QAUR,PGC,True,5.140122634424314
3,2023-04-28,QAUR,TPB,True,5.140122634424314
3,2023-04-28,QAUR,VNM,False,5.140122634424314
3,2023-04-28,QAUR,VPI,False,5.140122634424314
4,2023-08-30,AUR,CDC,True,5.228444754859039
4,2023-08-30,AUR,LIX,True,5.228444754859039
4,2023-08-30,AUR,NSC,False,5.228444754859039
4,2023-08-30,AUR,PGC,True,5.228444754859039
4,2023-08-30,AUR,PNJ,False,5.228444754859039
4,2023-08-30,AUR,TPB,False,5.228444754859039
4,2023-08-30,AUR,VCB,True,5.228444754859039
4,2023-08-30,AUR,VJC,False,5.228444754859039
4,2023-08-30,QAUR,CDC,True,5.303920898760245
4,2023-08-30,QAUR,GMD,False,5.303920898760245
4,2023-08-30,QAUR,HDB,False,5.303920898760245
4,2023-08-30,QAUR,LIX,True,5.303920898760245
4,2023-08-30,QAUR,PGC,True,5.303920898760245
4,2023-08-30,QAUR,PNJ,False,5.303920898760245
4,2023-08-30,QAUR,TPB,False,5.303920898760245
4,2023-08-30,QAUR,VPI,True,5.303920898760245
5,2023-12-29,AUR,BIC,True,4.757607214108971
5,2023-12-29,AUR,CDC,True,4.757607214108971
5,2023-12-29,AUR,GEX,False,4.757607214108971
5,2023-12-29,AUR,NSC,False,4.757607214108971
5,2023-12-29,AUR,PGC,False,4.757607214108971
5,2023-12-29,AUR,SBA,True,4.757607214108971
5,2023-12-29,AUR,VCB,False,4.757607214108971
5,2023-12-29,AUR,VCI,True,4.757607214108971
5,2023-12-29,QAUR,ACC,False,4.748992823476841
5,2023-12-29,QAUR,BIC,True,4.748992823476841
5,2023-12-29,QAUR,CDC,True,4.748992823476841
5,2023-12-29,QAUR,GEX,False,4.748992823476841
5,2023-12-29,QAUR,HDB,False,4.748992823476841
5,2023-12-29,QAUR,SBA,True,4.748992823476841
5,2023-12-29,QAUR,VCI,True,4.748992823476841
5,2023-12-29,QAUR,VPI,False,4.748992823476841
6,2024-03-29,AUR,BIC,False,5.194807613240352
6,2024-03-29,AUR,CDC,True,5.194807613240352
6,2024-03-29,AUR,DBD,True,5.194807613240352
6,2024-03-29,AUR,GEX,False,5.194807613240352
6,2024-03-29,AUR,NSC,True,5.194807613240352
6,2024-03-29,AUR,SHI,True,5.194807613240352
6,2024-03-29,AUR,VCB,False,5.194807613240352
6,2024-03-29,AUR,VCI,False,5.194807613240352
6,2024-03-29,QAUR,BIC,False,5.095642470044475
6,2024-03-29,QAUR,CDC,True,5.095642470044475
6,2024-03-29,QAUR,DBD,True,5.095642470044475
6,2024-03-29,QAUR,GEX,False,5.095642470044475
6,2024-03-29,QAUR,SHI,True,5.095642470044475
6,2024-03-29,QAUR,VCI,False,5.095642470044475
6,2024-03-29,QAUR,VPI,False,5.095642470044475
6,2024-03-29,QAUR,VSH,True,5.095642470044475
7,2024-07-30,AUR,CDC,True,5.253192804920093
7,2024-07-30,AUR,GEX,False,5.253192804920093
7,2024-07-30,AUR,HDB,True,5.253192804920093
7,2024-07-30,AUR,HVN,True,5.253192804920093
7,2024-07-30,AUR,SHI,True,5.253192804920093
7,2024-07-30,AUR,TCB,False,5.253192804920093
7,2024-07-30,AUR,VCB,False,5.253192804920093
7,2024-07-30,AUR,VCI,False,5.253192804920093
7,2024-07-30,QAUR,CDC,True,5.198755270872388
7,2024-07-30,QAUR,GEX,False,5.198755270872388
7,2024-07-30,QAUR,HDB,True,5.198755270872388
7,2024-07-30,QAUR,HVN,True,5.198755270872388
7,2024-07-30,QAUR,SHB,False,5.198755270872388
7,2024-07-30,QAUR,SHI,True,5.198755270872388
7,2024-07-30,QAUR,TCB,False,5.198755270872388
7,2024-07-30,QAUR,VCI,False,5.198755270872388
8,2024-11-29,AUR,CDC,True,5.741916941546559
8,2024-11-29,AUR,FPT,False,5.741916941546559
8,2024-11-29,AUR,HDB,False,5.741916941546559
8,2024-11-29,AUR,HPG,False,5.741916941546559
8,2024-11-29,AUR,KOS,True,5.741916941546559
8,2024-11-29,AUR,TCB,False,5.741916941546559
8,2024-11-29,AUR,VCB,True,5.741916941546559
8,2024-11-29,AUR,VPI,True,5.741916941546559
8,2024-11-29,QAUR,CDC,True,5.591916941546558
8,2024-11-29,QAUR,FPT,False,5.591916941546558
8,2024-11-29,QAUR,HDB,False,5.591916941546558
8,2024-11-29,QAUR,HPG,False,5.591916941546558
8,2024-11-29,QAUR,KOS,True,5.591916941546558
8,2024-11-29,QAUR,TCB,False,5.591916941546558
8,2024-11-29,QAUR,VCB,True,5.591916941546558
8,2024-11-29,QAUR,VPI,True,5.591916941546558
9,2025-03-28,AUR,ACC,True,5.3880366994908835
9,2025-03-28,AUR,CTG,True,5.3880366994908835
9,2025-03-28,AUR,HPG,False,5.3880366994908835
9,2025-03-28,AUR,STB,True,5.3880366994908835
9,2025-03-28,AUR,VCB,False,5.3880366994908835
9,2025-03-28,AUR,VHC,True,5.3880366994908835
9,2025-03-28,AUR,VNM,False,5.3880366994908835
9,2025-03-28,AUR,VPI,False,5.3880366994908835
9,2025-03-28,QAUR,ACC,True,5.3880366994908835
9,2025-03-28,QAUR,CTG,True,5.3880366994908835
9,2025-03-28,QAUR,HPG,False,5.3880366994908835
9,2025-03-28,QAUR,STB,True,5.3880366994908835
9,2025-03-28,QAUR,VCB,False,5.3880366994908835
9,2025-03-28,QAUR,VHC,True,5.3880366994908835
9,2025-03-28,QAUR,VNM,False,5.3880366994908835
9,2025-03-28,QAUR,VPI,False,5.3880366994908835
10,2025-07-30,AUR,ACC,True,5.59505239698617
10,2025-07-30,AUR,CTG,True,5.59505239698617
10,2025-07-30,AUR,HPG,False,5.59505239698617
10,2025-07-30,AUR,SAB,True,5.59505239698617
10,2025-07-30,AUR,STB,True,5.59505239698617
10,2025-07-30,AUR,VCB,False,5.59505239698617
10,2025-07-30,AUR,VHC,False,5.59505239698617
10,2025-07-30,AUR,VNM,False,5.59505239698617
10,2025-07-30,QAUR,ACC,True,5.59505239698617
10,2025-07-30,QAUR,CTG,True,5.59505239698617
10,2025-07-30,QAUR,HPG,False,5.59505239698617
10,2025-07-30,QAUR,SAB,True,5.59505239698617
10,2025-07-30,QAUR,STB,True,5.59505239698617
10,2025-07-30,QAUR,VCB,False,5.59505239698617
10,2025-07-30,QAUR,VHC,False,5.59505239698617
10,2025-07-30,QAUR,VNM,False,5.59505239698617
11,2025-11-28,AUR,GAS,True,5.548541673496446
11,2025-11-28,AUR,HPG,False,5.548541673496446
11,2025-11-28,AUR,KOS,True,5.548541673496446
11,2025-11-28,AUR,NAF,False,5.548541673496446
11,2025-11-28,AUR,SAB,True,5.548541673496446
11,2025-11-28,AUR,SBT,False,5.548541673496446
11,2025-11-28,AUR,STB,True,5.548541673496446
11,2025-11-28,AUR,VCB,False,5.548541673496446
11,2025-11-28,QAUR,GAS,True,5.548541673496446
11,2025-11-28,QAUR,HPG,False,5.548541673496446
11,2025-11-28,QAUR,KOS,True,5.548541673496446
11,2025-11-28,QAUR,NAF,False,5.548541673496446
11,2025-11-28,QAUR,SAB,True,5.548541673496446
11,2025-11-28,QAUR,SBT,False,5.548541673496446
11,2025-11-28,QAUR,STB,True,5.548541673496446
11,2025-11-28,QAUR,VCB,False,5.548541673496446
