ticker,event_type,record_date,ex_date,reason,source_url,corroboration_url
PNJ,CASH_DIVIDEND,2020-04-03,2020-04-01,material event terms incomplete,https://www.vsd.vn/vi/ad/66229,https://cafef.vn/du-lieu/pnj/thong-tin-chung.chn
POW,RIGHTS_ISSUE,2025-12-11,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/189687,
PPC,CASH_DIVIDEND,2022-07-18,2022-07-15,material event terms incomplete,https://www.vsd.vn/vi/ad/151786,https://cafef.vn/du-lieu/ppc/thong-tin-chung.chn
PTB,RIGHTS_ISSUE,2025-12-15,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/189746,
PTB,CASH_DIVIDEND,2022-05-27,2022-05-26,material event terms incomplete,https://www.vsd.vn/vi/ad/150602,https://cafef.vn/du-lieu/ptb/thong-tin-chung.chn
PTB,CASH_DIVIDEND,2021-05-28,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/141922,
PTB,BONUS_SHARE,2021-05-28,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/141922,
PVP,STOCK_DIVIDEND,2024-07-26,2024-07-25,material event terms incomplete,https://www.vsd.vn/vi/ad/173058,https://cafef.vn/du-lieu/pvp/thong-tin-chung.chn
RAL,RIGHTS_ISSUE,2021-12-29,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/146710,
RAL,CASH_DIVIDEND,2021-04-14,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/140669,
RDP,BONUS_SHARE,2021-04-05,2021-04-02,material event terms incomplete,https://www.vsd.vn/vi/ad/139272,https://cafef.vn/du-lieu/rdp/thong-tin-chung.chn
RDP,STOCK_DIVIDEND,2020-11-30,2020-11-27,material event terms incomplete,https://www.vsd.vn/vi/ad/76313,https://cafef.vn/du-lieu/rdp/thong-tin-chung.chn
RDP,MERGER,2020-11-30,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/76313,
RDP,SHARE_CONVERSION,2020-11-30,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/76313,
REE,CASH_DIVIDEND,2024-03-01,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/167188,
RYG,CASH_DIVIDEND,2024-09-11,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/174272,
S4A,CASH_DIVIDEND,2021-12-22,2021-12-21,material event terms incomplete,https://www.vsd.vn/vi/ad/146459,https://cafef.vn/du-lieu/s4a/thong-tin-chung.chn
S4A,CASH_DIVIDEND,2021-01-22,2021-01-21,material event terms incomplete,https://www.vsd.vn/vi/ad/77548,https://cafef.vn/du-lieu/s4a/thong-tin-chung.chn
S4A,CASH_DIVIDEND,2020-04-08,2020-04-07,material event terms incomplete,https://www.vsd.vn/vi/ad/65915,https://cafef.vn/du-lieu/s4a/thong-tin-chung.chn
SAB,CASH_DIVIDEND,2026-01-13,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/189016,
SAB,CASH_DIVIDEND,2024-07-08,2024-07-05,material event terms incomplete,https://www.vsd.vn/vi/ad/171976,https://cafef.vn/du-lieu/sab/thong-tin-chung.chn
SAB,CASH_DIVIDEND,2022-03-03,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/147944,
SAM,STOCK_DIVIDEND,2022-10-28,2022-10-27,material event terms incomplete,https://www.vsd.vn/vi/ad/154003,https://cafef.vn/du-lieu/sam/thong-tin-chung.chn
SAM,STOCK_DIVIDEND,2022-01-24,2022-01-21,material event terms incomplete,https://www.vsd.vn/vi/ad/147206,https://cafef.vn/du-lieu/sam/thong-tin-chung.chn
SAM,RIGHTS_ISSUE,2021-01-18,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/77447,
SAV,CASH_DIVIDEND,2025-05-23,2025-05-22,material event terms incomplete,https://www.vsd.vn/vi/ad/182627,https://cafef.vn/du-lieu/sav/thong-tin-chung.chn
SAV,CASH_DIVIDEND,2024-05-31,2024-05-30,material event terms incomplete,https://www.vsd.vn/vi/ad/171007,https://cafef.vn/du-lieu/sav/thong-tin-chung.chn
SAV,CASH_DIVIDEND,2023-08-15,2023-08-14,material event terms incomplete,https://www.vsd.vn/vi/ad/160470,https://cafef.vn/du-lieu/sav/thong-tin-chung.chn
SAV,CASH_DIVIDEND,2022-06-03,2022-06-02,material event terms incomplete,https://www.vsd.vn/vi/ad/150880,https://cafef.vn/du-lieu/sav/thong-tin-chung.chn
SAV,CASH_DIVIDEND,2021-05-21,2021-05-20,material event terms incomplete,https://www.vsd.vn/vi/ad/141697,https://cafef.vn/du-lieu/sav/thong-tin-chung.chn
SAV,CASH_DIVIDEND,2020-06-25,2020-06-24,material event terms incomplete,https://www.vsd.vn/vi/ad/68964,https://cafef.vn/du-lieu/sav/thong-tin-chung.chn
SBA,CASH_DIVIDEND,2025-06-05,2025-06-04,material event terms incomplete,https://www.vsd.vn/vi/ad/183146,https://cafef.vn/du-lieu/sba/thong-tin-chung.chn
SBG,STOCK_DIVIDEND,2024-10-03,2024-10-02,material event terms incomplete,https://www.vsd.vn/vi/ad/175048,https://cafef.vn/du-lieu/sbg/thong-tin-chung.chn
SBG,RIGHTS_ISSUE,2024-10-03,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/175048,
SBT,RIGHTS_ISSUE,2025-07-28,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/185051,
SBT,SHARE_CONVERSION,2025-07-28,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/185051,
SBT,CASH_DIVIDEND,2025-03-07,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/179918,
SBT,SHARE_CONVERSION,2025-03-07,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/179918,
SBT,SHARE_CONVERSION,2025-01-13,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/178244,
SBT,CASH_DIVIDEND,2023-11-29,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/164592,
SBT,SHARE_CONVERSION,2023-11-29,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/164592,
SBT,SHARE_CONVERSION,2022-11-22,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/154484,
SBT,CASH_DIVIDEND,2020-10-26,2020-10-23,material event terms incomplete,https://www.vsd.vn/vi/ad/75421,https://cafef.vn/du-lieu/sbt/thong-tin-chung.chn
SBV,CASH_DIVIDEND,2020-12-01,2020-11-30,material event terms incomplete,https://www.vsd.vn/vi/ad/76444,https://cafef.vn/du-lieu/sbv/thong-tin-chung.chn
SCD,CASH_DIVIDEND,2020-07-22,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/69926,
SCS,CASH_DIVIDEND,2020-07-20,2020-07-17,material event terms incomplete,https://www.vsd.vn/vi/ad/69788,https://cafef.vn/du-lieu/scs/thong-tin-chung.chn
SFC,CASH_DIVIDEND,2024-11-25,2024-11-22,"term conflict official=1.5, reference=1500",https://www.vsd.vn/vi/ad/176339,https://cafef.vn/du-lieu/sfc/thong-tin-chung.chn
SGR,STOCK_DIVIDEND,2020-10-15,2020-10-14,"term conflict official=0.317526, reference=317525",https://www.vsd.vn/vi/ad/75378,https://cafef.vn/du-lieu/sgr/thong-tin-chung.chn
SGT,RIGHTS_ISSUE,2022-09-26,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/153184,
SHB,CASH_DIVIDEND,2025-06-10,2025-06-09,material event terms incomplete,https://www.vsd.vn/vi/ad/183115,https://cafef.vn/du-lieu/shb/thong-tin-chung.chn
SHB,STOCK_DIVIDEND,2021-11-12,2021-11-11,"term conflict official=0.105, reference=1.05",https://www.vsd.vn/vi/ad/145737,https://cafef.vn/du-lieu/shb/thong-tin-chung.chn
SHB,RIGHTS_ISSUE,2021-11-12,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/145737,
SHI,RIGHTS_ISSUE,2021-12-13,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/146147,
SHI,STOCK_DIVIDEND,2020-10-30,2020-10-29,material event terms incomplete,https://www.vsd.vn/vi/ad/75725,https://cafef.vn/du-lieu/shi/thong-tin-chung.chn
SHP,CASH_DIVIDEND,2025-03-17,2025-03-14,material event terms incomplete,https://www.vsd.vn/vi/ad/180096,https://cafef.vn/du-lieu/shp/thong-tin-chung.chn
SHP,CASH_DIVIDEND,2023-10-17,2023-10-16,material event terms incomplete,https://www.vsd.vn/vi/ad/161791,https://cafef.vn/du-lieu/shp/thong-tin-chung.chn
SII,RIGHTS_ISSUE,2020-01-22,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/62506,
SIP,STOCK_DIVIDEND,2024-07-11,2024-07-10,material event terms incomplete,https://www.vsd.vn/vi/ad/172599,https://cafef.vn/du-lieu/sip/thong-tin-chung.chn
SJD,CASH_DIVIDEND,2024-11-20,2024-11-19,material event terms incomplete,https://www.vsd.vn/vi/ad/176213,https://cafef.vn/du-lieu/sjd/thong-tin-chung.chn
SJD,CASH_DIVIDEND,2022-03-18,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/148774,
SJS,STOCK_DIVIDEND,2025-07-31,2025-07-30,material event terms incomplete,https://www.vsd.vn/vi/ad/185359,https://cafef.vn/du-lieu/sjs/thong-tin-chung.chn
SKG,STOCK_DIVIDEND,2024-07-01,2024-06-28,material event terms incomplete,https://www.vsd.vn/vi/ad/172032,https://cafef.vn/du-lieu/skg/thong-tin-chung.chn
SMA,CASH_DIVIDEND,2024-05-15,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/170116,
SMB,CASH_DIVIDEND,2021-10-25,2021-10-22,material event terms incomplete,https://www.vsd.vn/vi/ad/145278,https://cafef.vn/du-lieu/smb/thong-tin-chung.chn
SMC,CASH_DIVIDEND,2020-10-21,2020-10-20,material event terms incomplete,https://www.vsd.vn/vi/ad/74945,https://cafef.vn/du-lieu/smc/thong-tin-chung.chn
SMC,CASH_DIVIDEND,2020-07-15,2020-07-14,material event terms incomplete,https://www.vsd.vn/vi/ad/69466,https://cafef.vn/du-lieu/smc/thong-tin-chung.chn
SRF,STOCK_DIVIDEND,2021-09-07,2021-09-06,material event terms incomplete,https://www.vsd.vn/vi/ad/144119,https://cafef.vn/du-lieu/srf/thong-tin-chung.chn
