ticker,year,source,data_class,records,start,end,missing_close
APG,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
APG,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
APH,2020,finance_datareader_yahoo_hose,real,112,2020-07-29,2020-12-31,0
APH,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
APH,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
APH,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
APH,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
APH,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
ASG,2020,finance_datareader_yahoo_hose,real,70,2020-09-25,2020-12-31,0
ASG,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
ASG,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
ASG,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
ASG,2024,finance_datareader_yahoo_hose,real,256,2024-01-01,2024-12-31,0
ASG,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
ASM,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
ASM,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
ASM,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
ASM,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
ASM,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
ASM,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
ASP,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
ASP,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
ASP,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
ASP,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
ASP,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
ASP,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
AST,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
AST,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
AST,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
AST,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
AST,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
AST,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
BAF,2021,finance_datareader_yahoo_hose,real,20,2021-12-06,2021-12-31,0
BAF,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BAF,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BAF,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
BAF,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
